	adels_att	count
.	0.13688987493515015	21378
«	66.4354248046875	9144
Graf	64.56626892089844	159
grinste	0.2455243170261383	25
und	0.7277811765670776	5624
setzte	0.03863682225346565	133
sich	0.17969657480716705	3677
neben	0.34850284457206726	70
sie	0.14913666248321533	5857
»	1.9911916255950928	9176
Als	0.011687706224620342	225
kleiner	0.0030119232833385468	16
Junge	0.5226660966873169	29
habe	7.705048561096191	802
ich	0.006534568965435028	3130
oft	0.48797717690467834	73
davon	0.12222166359424591	174
geträumt	0.2222934514284134	2
,	0.08753858506679535	24910
ein	13.15900993347168	1933
mutiger	0.11791587620973587	2
Ritter	0.5770711898803711	3
zu	0.0992933064699173	3653
sein	0.010344968177378178	863
sinnierte	1.5403244495391846	6
er	0.5993883609771729	3648
hätte	0.4857654273509979	360
das	0.0022908214014023542	3031
Schloss	21.926513671875	223
erobert	0.0011517665116116405	3
meine	0.0030912216752767563	310
ungeliebte	1.649849582463503e-05	1
Stiefmutter	1.0656393766403198	4
davongejagt	0.00042698593460954726	1
hob	1.4073548316955566	85
betroffen	0.07683755457401276	12
den	0.2656223177909851	2189
Kopf	3.8077168464660645	274
In	0.011523859575390816	193
seiner	1.3720060586929321	375
Stimme	0.5127086639404297	217
lag	0.007531757466495037	100
so	0.09156310558319092	1349
viel	6.829596042633057	276
Bitterkeit	0.01224750466644764	4
dass	0.17522384226322174	2114
fror	8.470773173030466e-05	1
Welch	0.016504986211657524	2
schreckliche	0.04619733244180679	8
Kindheit	0.24617889523506165	10
hatte	0.39107945561408997	2117
der	0.0027871502097696066	3407
durchleiden	0.00015422886644955724	1
müssen	0.018486829474568367	173
?	0.04529488459229469	3082
Sie	0.024364836513996124	2971
wusste	194.63502502441406	231
früh	0.33010005950927734	40
die	0.5339627265930176	4889
Mutter	0.859675407409668	161
verloren	0.011194937862455845	59
schuld	0.5198587775230408	8
war	1.1388903856277466	3012
im	0.1402580291032791	722
Internat	1.0472160577774048	4
aufwachsen	0.010177023708820343	2
Aber	0.003515184624120593	768
was	0.0024500831495970488	786
rechtfertigte	1.7130453215941088e-06	1
diesen	0.011768387630581856	134
tiefen	0.016480669379234314	12
Hass	0.03746303170919418	6
auf	0.4904565215110779	2143
Bevor	58.67497253417969	19
nachfassen	0.003243769984692335	1
konnte	0.14638815820217133	579
ergriff	1.539130449295044	12
ihre	0.01960519701242447	771
Hand	0.6974695920944214	219
streichelte	0.07668061554431915	11
sanft	1613.5185546875	30
darüber	1.6897953748703003	137
Verzeih	0.031157832592725754	6
ungestüm	0.01067981868982315	6
sagte	0.04562549665570259	726
heiser	0.050951212644577026	5
es	0.3547457754611969	2400
ist	1.6151982545852661	1913
einfach	0.08433405309915543	261
über	0.031291451305150986	561
mich	0.4081922471523285	923
gekommen	0.026913471519947052	109
Ein	0.01615428365767002	192
warmes	0.015837062150239944	5
Lächeln	0.4336569011211395	161
um	0.14002150297164917	819
Lippen	378.43048095703125	97
Gräfin	217.335205078125	107
Du	0.02011105976998806	521
musst	0.008511136285960674	69
dich	0.0008094645454548299	548
nicht	0.130454421043396	4377
entschuldigen	0.3346254825592041	23
Ich	0.30224257707595825	1861
wollte	0.011417517438530922	521
auch	0.46504440903663635	1356
noch	0.1289951056241989	1431
dürfen	1.9155395030975342	45
wir	0.19771073758602142	690
unserer	0.10941299051046371	32
Sehnsucht	0.07698336243629456	23
nachgeben	0.020204992964863777	3
Das	0.009301580488681793	967
wäre	0.25549235939979553	276
gut	4.856000900268555	363
liebst	0.5081413984298706	9
immer	0.43787339329719543	584
hakte	1203.843017578125	18
nach	0.00494925444945693	772
in	3037.957763671875	2751
Arme	1.4959009885787964	87
bei	0.002449738560244441	449
ihnen	0.007545279338955879	202
sonst	0.027417780831456184	116
üblich	0.026820696890354156	6
aber	1.528970718383789	1074
jetzt	0.003347041318193078	662
schien	13.86253833770752	136
ihm	0.012962562963366508	980
angemessen	1.7432152032852173	6
richtig	0.6305089592933655	101
küsste	0.030085034668445587	55
ihn	125.98527526855469	963
e	0.14971427619457245	163
flüsterte	0.7746521234512329	62
einmal	0.002164221368730068	395
Und	0.09409010410308838	836
entschuldige	76.88203430175781	7
bitte	3.082975149154663	157
Drachen	0.0036619610618799925	1
So	0.3771846294403076	183
schlimm	0.26314541697502136	20
nun	0.049618832767009735	235
wieder	878.507080078125	694
Feli	4068.221923828125	2
!	0.023613302037119865	1219
lächelte	0.433630108833313	207
ließ	0.2099158763885498	242
los	0.01524837501347065	98
Mit	0.016909029334783554	152
einem	0.36083924770355225	609
Mal	0.007560345809906721	164
freute	0.06495450437068939	30
unbändig	0.00028840466984547675	1
neue	0.027928486466407776	53
Leben	0.004145596642047167	226
vor	0.060234539210796356	660
lag.	0.02572084590792656	18
*	0.8275963068008423	432
plauderte	2655.767578125	4
angeregt	0.30798354744911194	3
mit	0.42808854579925537	2131
charmant	0.1962077021598816	12
schaffte	0.02189132757484913	11
irgendwie	0.39588266611099243	21
erik	7.896215915679932	18
während	0.26519718766212463	193
des	0.04078083857893944	423
gesamten	0.014874250628054142	5
Abendessens	3.9033868312835693	3
mehr	0.01051298901438713	660
oder	0.04278610274195671	315
weniger	0.03946778178215027	49
übersehen	0.009113320149481297	12
Er	0.9803825616836548	1336
verhielt	0.17851826548576355	12
umgekehrt	0.07334709912538528	6
ähnlich	0.010400692000985146	30
entstand	0.005247131455689669	4
eine	0.3160094916820526	1352
seltsame	0.06812592595815659	12
Stimmung	0.23482853174209595	32
Händen	0.013662144541740417	30
greifen	0.021753888577222824	6
doch	0.7451981902122498	895
dafür	0.025603201240301132	114
sorgte	15.486605644226074	10
ungemütliche	0.04966573789715767	1
Gesprächspausen	0.0004079602367710322	1
auftraten	0.00041995602077804506	1
Es	0.029524151235818863	799
dauerte	0.36160698533058167	21
Weile	339.1591796875	74
bis	0.1163044348359108	211
Ursache	0.04775186628103256	2
erkannten	0.00027792848413810134	2
Zugleich	0.667435884475708	3
stellten	0.003439786145463586	9
fest	0.4326721131801605	204
nichts	0.004974367097020149	436
dagegen	6.736457347869873	34
würden	0.6402906775474548	94
unternehmen	0.05160127580165863	9
können	0.07018361985683441	328
Unangenehm	0.008897054940462112	1
überrascht	5283.17041015625	52
allem	0.04880490154027939	80
