	adels_att	count
sinnlose	0.0005561865982599556	1
Anweisungen	0.17464324831962585	11
.	47.44596481323242	26229
Das	0.004397363401949406	816
n	0.19886206090450287	49
des	1.7723519802093506	363
Hofhunds	3.7248141765594482	1
riss	0.6388295292854309	25
ihn	0.16925914585590363	1171
aus	0.221584290266037	904
seinen	0.36763566732406616	379
Gedanken	0.08108200877904892	172
,	2.18599796295166	26096
und	0.5552991628646851	6724
er	1.842755675315857	4458
überquerte	0.13300339877605438	3
den	0.018252266570925713	2645
Hofplatz	0.19972087442874908	3
der	0.07445978373289108	3467
nun	0.002060998696833849	265
in	1.2328016757965088	3175
hellem	0.0003897605638485402	1
Sonnenlicht	0.0037355232052505016	3
lag.	0.12851180136203766	17
Sicher	0.04970474913716316	15
saßen	0.7002829909324646	21
Bauer	160.9967803955078	6
seine	0.05682387202978134	690
Mutter	0.13017670810222626	353
bereits	0.19971254467964172	110
beim	0.02086157724261284	87
Frühstück	4.19387149810791	32
zusammen	0.3458980321884155	196
warteten	0.006474570836871862	5
darauf	0.2186870127916336	193
dass	0.003749916795641184	2396
sich	0.9008229374885559	4045
die	0.0675106793642044	5358
Söhne	0.15488266944885254	5
Mia	9.064023971557617	20
zu	0.5422483086585999	4095
ihnen	0.0034520444460213184	210
gesellten	2.296565071446821e-05	1
Er	2.350041151046753	1362
kraulte	13.47239875793457	5
Hund	0.6783186793327332	46
kurz	2.063987970352173	130
hinter	1.9876395463943481	143
Ohren	1.411408543586731	33
beeilte	0.8242366313934326	6
dann	1.3454982042312622	826
ins	0.06506635993719101	276
Haus	0.02389012835919857	171
kommen	0.028593342751264572	165
Firmin	2930.22509765625	6
hatten	0.033592455089092255	286
tatsächlich	0.5842190980911255	73
ihre	0.010106527246534824	833
Plätze	0.002444257726892829	1
an	0.06793388724327087	1802
dem	2.3197078704833984	1410
gemütlichen	0.013630053028464317	10
Tisch	0.2253369241952896	89
weiträumigen	0.007458853535354137	1
Küche	0.12019800394773483	67
eingenommen	0.00019524824165273458	1
Der	3.83746075630188	355
Frühstückstisch	0.16955043375492096	5
war	0.11623238772153854	3338
nicht	0.04265095666050911	4329
so	2.009182929992676	1571
reichhaltig	0.002616184763610363	1
gedeckt	0.049854688346385956	3
wie	0.015060408040881157	1316
früher	0.5778194665908813	59
was	0.12446746975183487	896
Krankheit	0.7115116715431213	26
Bauern	15.833219528198242	3
geschuldet	0.0014999833656474948	2
Rosa	3.0391945838928223	19
achtete	0.0920434296131134	7
strenge	0.30135518312454224	6
Diät	0.8286738395690918	4
replaced-dns	0.05242914706468582	139
<repdns	0.4323263466358185	135
"text=""Dr.Burger"""	1013.4189453125	28
/>	53.896827697753906	137
aufgestellt	0.2661145031452179	5
hatte	0.3512890636920929	2520
einhielt	0.0025053229182958603	2
auch	0.04921576380729675	1609
wenn	0.04521738737821579	904
das	0.010772597044706345	2981
schon	0.017368746921420097	999
vielen	0.24100686609745026	52
Meinungsverschiedenheiten	0.019519168883562088	2
geführt	0.03945031017065048	17
da	0.3670537769794464	466
wenig	0.0283119548112154	143
Einsicht	0.04593648016452789	2
zeigte	0.20714497566223145	46
»	0.4383999705314636	4679
Essen	0.05393712595105171	83
hält	1.5476726293563843	9
Leib	1.557586908340454	10
