	adels_att	count
Pfarrer	0.07325513660907745	262
Trenker	897.888671875	152
lachte	1.6390408277511597	149
,	0.004179973620921373	23316
wenn	12.785947799682617	746
er	0.017598038539290428	3825
sich	0.007011547219008207	3796
auch	0.01452307216823101	1402
keineswegs	2.0828640460968018	11
sicher	0.02557051181793213	140
war	244.52154541015625	2910
ob	4.783913612365723	184
nicht	11.567378997802734	2393
nur	0.011328085325658321	819
ihre	0.004793249070644379	577
Zuflucht	0.06373633444309235	3
zu	1.5436824560165405	3230
einer	0.013272326439619064	398
naheliegenden	0.00247671059332788	1
Ausrede	0.03588857501745224	2
genommen	0.5695894956588745	58
hatte	0.021246323361992836	2178
.	0.3984355330467224	24384
Immer	0.024983718991279602	43
deutlicher	0.18947629630565643	6
sagte	49.81462097167969	680
ihm	0.3833547830581665	984
sein	0.008364448323845863	939
Gefühl	0.035054612904787064	69
dass	0.006780012510716915	1254
irgendetwas	0.06057858094573021	11
verbergen	0.0031769401393830776	8
suchte	0.0026217009872198105	48
Vor	0.11541152000427246	34
selbst	0.007397960871458054	178
vor	18.73663330078125	740
ihren	0.006873828358948231	344
Eltern	0.04151594638824463	224
und	0.0004717092087958008	7214
zuletzt	0.006561634596437216	12
Hatte	0.0019961893558502197	17
sie	0.07745926082134247	5013
ein	0.21616192162036896	2422
schlechtes	565.8803100585938	8
Gewissen	3.877427577972412	20
die	0.2589135766029358	6146
ganz	22.6540470123291	430
allein	0.01749395579099655	109
lassen	0.0048860786482691765	169
für	0.00582899060100317	964
immer	0.008162111975252628	569
nach	0.21130771934986115	839
ging	0.901953935623169	350
?	0.027319762855768204	2719
Tat	0.2898045480251312	15
es	0.10985662043094635	2604
ihr	0.013475838117301464	1456
im	0.0042793359607458115	900
Nachhinein	0.004316993057727814	1
doch	0.21555744111537933	815
Leid	0.06353442370891571	15
um	0.08236965537071228	832
den	0.005134177394211292	3211
Hof	0.14810381829738617	286
der	0.006240309681743383	4787
dann	7.431478023529053	873
wohl	14.244743347167969	208
verkauft	0.5543734431266785	10
werden	0.014236470684409142	357
in	8.47222900390625	3082
fremde	0.35875409841537476	6
Hände	0.03330680727958679	93
fallen	0.9870972037315369	32
würde	725.453857421875	429
Oder	0.00879701878875494	55
zweifelte	0.003874921938404441	5
Stillen	0.9507350921630859	3
bereits	0.3652547597885132	73
daran	11.758001327514648	138
Liebe	0.04070363566279411	213
groß	0.023448143154382706	33
genug	0.004890721291303635	96
wirklich	0.017619241029024124	251
alles	1.0356781482696533	509
was	0.008162152022123337	844
lieb	0.1958763599395752	72
vertraut	0.012144540436565876	8
hinter	0.016660241410136223	166
einzig	0.08509156852960587	9
auf	0.004636948928236961	2662
ihn	0.002305791014805436	945
einzustellen	0.0005383834941312671	1
unterdrückte	0.4808932840824127	8
mühsam	0.3301052749156952	15
einen	0.005244862288236618	1164
Seufzer	89.20541381835938	13
Fragen	0.16244050860404968	31
über	0.05944836512207985	628
keine	0.1013154685497284	358
Antwort	0.41847068071365356	67
wusste	0.03907955065369606	118
»	0.12259579449892044	7798
wollen	148.2698211669922	140
wir	0.0024441652931272984	734
jetzt	46.54805374145508	528
wieder	0.0134761156514287	754
aufbrechen	0.1672956347465515	6
«	0.04827353358268738	7781
schlug	0.008101191371679306	93
Damit	3.3128201961517334	48
nimmer	0.478061318397522	95
gar	6.886618614196777	282
so	0.15827545523643494	1524
lange	0.06650898605585098	185
Käsespatzen	3.077441453933716	1
warten	2.857903242111206	58
muss	0.012721539475023746	157
Wenn	99.57339477539062	341
schon	0.11944710463285446	1002
sechs	0.020019814372062683	19
te	2.162353038787842	17
oder	0.42438647150993347	318
noch	0.02512602135539055	1444
länger	0.047707781195640564	54
hat	0.002198605565354228	924
In	0.04542314261198044	214
jeder	0.0032255190890282393	56
Generation	0.19414696097373962	6
ist	23.79225730895996	2135
vom	0.00853174552321434	219
Vater	14.589783668518066	361
an	0.0025168482679873705	1765
ältesten	0.0006061476306058466	2
Sohn	42.544734954833984	106
weitergegeben	1.2911866903305054	4
worden	3.994532585144043	91
Und	0.0041586486622691154	690
einmal	0.6279562711715698	385
soll	0.010098734870553017	179
aus	0.030772745609283447	1081
hab’	44.993717193603516	197
ich	0.03961995244026184	3130
dem	0.03699469566345215	1881
Tod	0.2290463149547577	29
gehofft	0.023376910015940666	15
...	7.894593715667725	516
Auch	0.0019443806959316134	105
Reiners	0.489153116941452	16
sprach	0.005905041471123695	75
Ende	0.03236624598503113	74
Er	41.91111755371094	1292
unterbrach	674.4520263671875	14
als	0.020802544429898262	1229
seine	0.0421823225915432	613
Frau	0.07043355703353882	510
beschwichtigend	2.824827194213867	4
Hand	0.07882484793663025	292
seinen	0.06189945712685585	345
Arm	0.004522848874330521	110
legte	0.8251439929008484	148
Einige	0.13906848430633545	10
Augenblicke	0.0344102680683136	8
herrschte	10.635108947753906	22
Schweigen	1.2360262870788574	9
Wohnstube	0.31374189257621765	8
des	0.0899115800857544	864
Reiners-Hofs	0.8441467881202698	1
Nur	0.14550438523292542	92
alte	0.6423092484474182	140
Wanduhr	0.033800818026065826	2
tickte	1.9868793487548828	1
ruhig	0.12877248227596283	49
gleichmäßig	0.20143692195415497	3
weiter	0.23202671110630035	167
Unbeirrt	0.010663456283509731	1
wäre	0.009353292174637318	248
nichts	0.011945107020437717	322
gewesen	0.7955074310302734	351
Vergessen	0.3688770532608032	3
das	0.018998797982931137	2802
Gerede	13.37639331817627	9
-us	1.1549854278564453	6
›Wachnertaler	138.8782501220703	3
Ferienwelt‹	0.050981707870960236	2
Das	0.6682304739952087	990
sind	2.3385889530181885	391
ungelegte	0.014274855144321918	1
Eier	0.3548261225223541	8
uns	0.0025635329075157642	443
net	9.81786823272705	1529
Kopf	0.09248123317956924	348
zerbrechen	9.27550983428955	5
sollten	0.0380680188536644	52
Richtig	0.04313201457262039	22
pflichtete	0.32729530334472656	7
ihrer	0.309428870677948	271
Tochter	0.014453133568167686	116
bei	1.123737096786499	546
Zumal	0.4466588795185089	7
unselige	0.061807192862033844	1
Projekt	0.36622560024261475	6
Gott	0.042448900640010834	98
sei	77.00304412841797	128
rechtzeitig	11.308605194091797	20
abwenden	0.005842502228915691	4
Machenschaften	1.807984471321106	3
Spekulanten	0.004869619384407997	1
Riegel	0.016410574316978455	2
vorschieben	0.004781297408044338	1
können	0.2461419403553009	295
unseren	0.013189585879445076	30
Bergpfarrer	37.31168746948242	65
hätten	0.007697834633290768	39
hier	0.0008542643045075238	509
St.	1421.50390625	147
manches	0.13163915276527405	8
schiefgelaufen	0.0022048307582736015	1
sehr	0.009797722101211548	431
sympathischer	1.6311848163604736	2
Mensch	0.2417685091495514	42
stimmte	0.37805840373039246	26
tat	0.268613338470459	60
ehrlicher	3.7280235290527344	2
Überzeugung	439.5606994628906	4
sehen	37.16603469848633	199
fragte	0.20045766234397888	357
milden	0.3517172038555145	4
Tadel	2.2692184448242188	1
Stimme	0.5339354872703552	120
zuckte	1.7658253908157349	86
Schultern	8.322626113891602	95
drehte	0.06127726659178734	58
wenig	0.010290754958987236	107
zur	0.26753923296928406	307
Seite	185.56973266601562	116
Barringtons	0.010419581085443497	2
Augen	0.04162434861063957	379
beinahe	0.012033010832965374	39
vorwurfsvoll	2.1684072017669678	4
ruhen	0.014096129685640335	5
fühlte	0.16217894852161407	64
Man	0.03454635664820671	65
sieht	0.1669042557477951	28
glücklich	16.36965560913086	126
stellte	1.6822137832641602	112
freundlich	0.2594031095504761	31
aber	0.8465462327003479	727
mit	0.005737158469855785	2282
Nachdruck	0.0856776013970375	6
klar	0.2863277196884155	58
mehr	0.03156933933496475	556
überzeugt	0.08725740760564804	26
Freude	0.6652103662490845	30
s	2472.9130859375	434
leuchtete	0.9058533906936646	9
eher	0.04221372306346893	52
Heimkehr	0.14559760689735413	3
Reiners-Hof	121.93046569824219	2
zusammenhing	0.901334285736084	4
verkniff	0.0002212089457316324	1
diesen	0.003163205925375223	78
Kommentar	8.0106794484891e-05	1
wehzutun	0.0005401758244261146	1
allerdings	1.2012728452682495	64
fiel	0.05891377478837967	79
schwer	0.10935550928115845	68
Gedanken	0.011199663393199444	143
ihres	0.01479519996792078	74
Vaters	0.11062706261873245	36
erraten	0.0031383424066007137	3
Wir	0.0009676013141870499	291
haben	0.05964013189077377	628
bevor	0.06680913269519806	53
euch	72.52877807617188	128
gefahren	27.28452491760254	37
Kirche	1.0857915878295898	74
Friedhof	0.296133428812027	7
vorbeigeschaut	0.00334807182662189	2
versuchte	0.0487830825150013	46
Situation	0.06257187575101852	15
munterem	0.0011358418269082904	1
Geplauder	0.11867313832044601	3
entschärfen	0.017630867660045624	1
Schön	265.4563903808594	28
habt	0.42607659101486206	39
Grab	0.034645549952983856	17
hergerichtet	20.78114891052246	3
Herrn	1.415031909942627	43
getroffen	0.15512128174304962	36
eigens	445.6094970703125	4
eine	0.08000802248716354	1452
Kirchenführung	0.03669017553329468	2
gemacht	60.607635498046875	147
Die	656.1456298828125	1041
mich	0.007198879960924387	824
beeindruckt	273.3634338378906	6
ergänzte	0.11880416423082352	8
Kanadier	809.2438354492188	4
glaub	0.21405111253261566	27
schließlich	0.007735858205705881	95
deutlich	0.022511044517159462	26
gezeigt	0.7448155879974365	9
kaute	84.42992401123047	5
verlegen	0.11776148527860641	35
seiner	0.04498578980565071	307
Unterlippe	0.02044631913304329	9
herum	0.045245155692100525	46
Sollen	0.3803601861000061	7
zum	0.0024894759990274906	500
Biergarten	3.6622672080993652	24
hinübergehen	0.004217460751533508	1
nachschauen	0.7028518915176392	4
wo	0.1455800086259842	169
dein	0.0032786577939987183	114
Verlobter	1.7373137474060059	5
bleibt	881.1940307617188	33
Weile	0.01975644938647747	84
schüttelte	4.274081707000732	169
sofort	1.6549301147460938	104
Sie	0.16774487495422363	2035
wollte	0.18735314905643463	467
Eindruck	0.04094347357749939	31
erwecken	0.0014259166782721877	1
nachzuspionieren	1.1576887118280865e-05	1
Stelle	7.6062469482421875	46
Schlepptau	0.006968197412788868	1
Wachtlers	0.009698363952338696	2
auftauchen	0.3616058826446533	6
dadurch	0.07629954069852829	10
Eifersucht	0.3014255166053772	6
schüren	0.012541661038994789	1
Ich	4.001428604125977	1926
glaube	11.669939994812012	36
warte	0.055173419415950775	10
Viertelstünderl	0.015011311508715153	1
gehe	0.007754563819617033	28
einfach	0.016161391511559486	185
Hause	0.01503191888332367	60
Vielleicht	0.09890438616275787	147
missverstanden	0.007635866291821003	1
mitten	0.046760473400354385	22
Satz	0.0686129704117775	27
is-Kirche	1.3266563655633945e-05	1
Organist	22.211435317993164	2
inzwischen	0.008000576868653297	50
angefangen	0.31479212641716003	14
üben	0.024898666888475418	6
horchte	8.905449867248535	7
leisen	0.13648296892642975	4
Klänge	0.6730589866638184	2
herüberwehten	0.0010328596690669656	1
lauschte	0.8143842220306396	20
ebenfalls	0.1827208548784256	41
Jetzt	0.0031997004989534616	182
spielt	0.10191338509321213	8
Stück	0.9699810147285461	32
Trauung	0.45418310165405273	8
Erlbacher-	0.009637250564992428	1
gespielt	775.35546875	7
fest	192.0892791748047	133
fügte	0.02864837646484375	33
unvermittelt	0.011168473400175571	4
hinzu	0.5881436467170715	53
:	1.4817190170288086	334
Stimmt	0.018131297081708908	22
eigentlich	0.23407872021198273	97
du	0.4378976821899414	1745
Barrington	127.68743133544922	8
meine	0.03215518593788147	231
heiratet	0.8157225847244263	10
tatsächlich	0.012420140206813812	43
st	2.2210428714752197	9
unserer	0.1137189120054245	22
Lederbändern	0.45340415835380554	1
baumelnden	0.04597439616918564	1
Grandeln	0.20106779038906097	2
anstelle	0.0003462546446826309	1
Krawatte	0.05974973365664482	7
vervollständigte	0.0004897965118288994	1
Verkleidung	0.023763738572597504	1
Mit	0.6907057166099548	166
einem	1154.38232421875	563
triumphierenden	0.08774168789386749	2
Grinsen	0.0013377248542383313	9
Gesicht	0.009106453508138657	200
stand	0.2855319380760193	311
da	1.4390507936477661	613
hätte	0.050803232938051224	291
gefehlt	0.012716129422187805	8
plötzlich	0.8909128904342651	95
Filzhut	1.9621871709823608	3
Gamsbart	0.0010529402643442154	1
herbeigezaubert	109.09606170654297	1
Jodler	0.021280275657773018	1
gestülpt	0.03572181984782219	1
warf	0.031645238399505615	110
zweifelnden	6.672072887420654	2
Blick	0.013018717058002949	207
’	0.012032818049192429	39
Gesichtern	0.03758711367845535	6
zeigte	0.46534761786460876	40
mildes	0.0023791107814759016	1
nachsichtiges	0.3773459196090698	1
Lächeln	0.027764033526182175	77
Bin	0.01356169581413269	11
richtiger	0.027939509600400925	11
bayerischer	0.015911005437374115	1
man	0.1384584605693817	438
beim	0.014419859275221825	148
Sprung	0.00391402980312705	7
isfeuer	0.06027887761592865	3
Staat	0.001557650975883007	3
machen	0.002058664569631219	275
kann	0.5854063630104065	559
erkundigte	1.6117457151412964	31
siegessicher	0.00131352583412081	1
blieb	0.04936288669705391	101
anderes	0.014263567514717579	57
übrig	0.005789159331470728	17
Frage	0.04423828050494194	64
bejahen	4.077128687640652e-05	1
Was	3.559530735015869	417
sonst	0.000960927049163729	105
antworten	1.9136663675308228	15
sollen	1.5984309911727905	46
Freilich	1.5457665920257568	59
Du	1.014623761177063	556
schaust	18.878986358642578	19
Längen	4.50413703918457	1
einheimischer	0.0030356538482010365	1
versicherte	0.8952145576477051	22
grinsend	5.4280548095703125	10
musste	1380.278564453125	154
eingestehen	2.8516383171081543	7
Trachtenkleidung	0.0002019053790718317	1
übel	4.309535026550293	11
seltsamen	0.007966139353811741	4
fremden	0.012172175571322441	7
darin	0.02390863001346588	45
machte	16.781105041503906	193
Fast	1.5520880222320557	20
trüge	0.004568879492580891	1
Karnevalskostüm	3.3187909139087424e-05	1
Unwillkürlich	0.06568164378404617	12
sagen	0.02703811228275299	285
diesem	0.006598175968974829	164
Aufzug	0.49275678396224976	7
Feuer	0.04448232799768448	16
springen	0.11279372125864029	5
passiert	0.03808368742465973	35
vergangenen	0.011733715422451496	19
fünf	0.03222895786166191	30
Jahren	0.006491830572485924	100
eines	0.004882676061242819	140
verändert	0.11599303781986237	17
Gefühle	0.023010246455669403	43
dich	0.06428271532058716	756
möchte	0.054885730147361755	80
Für	0.07106317579746246	70
Bub	8.111128807067871	102
darfst	0.03113062120974064	13
mir	2.8004631996154785	1127
verwehren	0.000660578312817961	6
werde	0.5593762397766113	160
kannst	4.050009250640869	168
besuchen	0.06799699366092682	38
oft	3.258305788040161	104
willst	0.8050791621208191	131
dir	0.050105951726436615	722
Geld	0.023685824126005173	92
geben	5.338258743286133	117
am	0.11201858520507812	476
Unterhalt	0.18999972939491272	3
beteiligen	0.0003898299182765186	2
musst	0.0045510027557611465	73
brauchen	6.901493549346924	34
Aber	0.0032337536104023457	833
mein	0.2848503887653351	187
Recht	0.07595952600240707	30
Pflicht	0.031158993020653725	4
Nein	0.0008485584403388202	161
kommen	0.40014156699180603	142
Runden	0.02804996818304062	3
Ehrlich	0.48732995986938477	9
verstehe	0.0127697279676795	40
ließ	0.0021928870119154453	220
hängen	0.366044819355011	9
Ihr	0.031110305339097977	154
braucht	0.2884570062160492	36
So	0.02262013591825962	331
habe	0.009803371503949165	505
gemeint	28.44425392150879	27
Verpflichtung	0.07830057293176651	3
stürzt	0.00805969163775444	2
später	0.017118612304329872	150
bereust	0.11200534552335739	3
Stabilität	0.6462430953979492	2
Teil	0.014021985232830048	30
seines	0.016425611451268196	84
Lebens	0.08288511633872986	16
möchtest	0.005245550069957972	9
verletzt	0.30781736969947815	18
wird	0.3552529215812683	429
Verstehst	0.008431035093963146	5
