	adels_att	count
Das	0.17676444351673126	1382
wird	0.04733859747648239	282
für	0.41645026206970215	707
dich	0.09410186111927032	380
wichtig	1.7029143571853638	33
sein	1.7013381719589233	833
,	0.0016716758254915476	22101
damit	0.10715481638908386	230
du	0.055323757231235504	1126
weißt	0.2275422066450119	44
wer	1.605848789215088	100
bist	1.2889395952224731	153
.	0.0014854311011731625	28895
«	0.4020291268825531	7377
Panja	129.6151123046875	68
hatte	0.41312116384506226	2746
theus	47.305084228515625	12
mit	0.011061720550060272	2031
einem	1.4498447179794312	682
Tuch	0.19618217647075653	14
den	1.8570990562438965	3678
Schweiß	1.4882398843765259	33
abgetrocknet	0.9313206076622009	1
jetzt	1.0754797458648682	602
richtete	0.3552406430244446	32
sie	0.37267744541168213	4610
sich	0.040617648512125015	4189
auf	341.3478088378906	2827
und	0.05521640181541443	6803
sah	0.8917782306671143	801
ihn	0.6619007587432861	1015
entrüstet	0.3318753242492676	4
an	0.13236559927463531	1800
»	0.022667620331048965	7408
Ich	0.291126549243927	2487
weiß	0.15652434527873993	252
doch	0.13379348814487457	563
ich	0.07856377959251404	4107
bin	0.31898537278175354	299
Vater	0.046458106487989426	86
–	0.4119976758956909	361
deine	3.4499635696411133	71
In	0.9122639298439026	290
theus’	12.876601219177246	1
Augen	2.508999824523926	486
traten	0.3145991265773773	15
Tränen	0.3828825056552887	33
seine	1.4804366827011108	574
zitternde	3.492276668548584	2
Hand	4.022141933441162	328
strich	4.487283706665039	42
über	0.6769054532051086	730
Panjas	122.63743591308594	10
Arm	0.7018778920173645	118
Ja	0.4229154884815216	445
meine	0.08521466702222824	319
hast	0.03546785190701485	231
vergessen	0.16496902704238892	89
dass	0.1339775025844574	2015
nicht	0.05275515466928482	4988
immer	1.3308415412902832	531
bei	0.4817502498626709	403
mir	0.6848164200782776	1330
warst	0.26712027192115784	10
aber	1.1852998733520508	1089
wenn	0.013416879810392857	505
mehr	18.944713592529297	901
...	0.6331345438957214	735
neigte	0.009008183144032955	10
ihre	0.20620279014110565	477
großen	1.2453285455703735	90
dunklen	0.5122321248054504	50
sahen	0.15918144583702087	125
voller	0.6981592178344727	17
Angst	0.12551742792129517	152
Was	2.955188274383545	425
soll	0.0810168981552124	112
das	0.043907102197408676	3467
heißen	0.046891458332538605	8
?	0.47240573167800903	2778
Wir	2.7183172702789307	512
werden	0.29536399245262146	376
zusammen	0.18907111883163452	180
brachte	0.39205002784729004	72
es	0.09606235474348068	2855
fertig	0.030468257144093513	30
deutlicher	2.877373218536377	13
vom	2.4217331409454346	150
Sterben	0.05902085080742836	9
zu	0.02272970974445343	3731
sprechen	1.8164972066879272	89
Er	1.5834567546844482	2026
flehte	0.010304213501513004	2
seinem	0.546151340007782	279
Herrgott	0.055250249803066254	8
ihm	43.61872863769531	886
noch	1.575948715209961	1602
einige	5.458213806152344	140
Tage	0.02571728825569153	33
Kraft	0.7824176549911499	78
schenken	0.20631450414657593	3
er	1.319413185119629	3448
Versäumtes	0.06112155690789223	1
nachholen	0.0019683123100548983	4
konnte	0.23839448392391205	888
nahm	0.8304765224456787	164
vor	0.3887471556663513	836
jemandem	5.990028381347656	7
anzuvertrauen	0.00019771467486862093	1
der	0.37221547961235046	4965
ihr	9.634138107299805	993
nach	0.07422805577516556	862
Tod	8.222160339355469	138
beistehen	0.5039896368980408	3
Aber	0.1285097897052765	730
erhörte	0.20426537096500397	1
die	0.18213915824890137	6888
Bitte	0.8381699323654175	79
des	0.03590386360883713	799
in	1.8164864778518677	3562
feiger	0.33342087268829346	1
von	0.26751333475112915	1370
Burg	1.7139761447906494	53
Pirata	8.006352424621582	7
geflohen	0.13619893789291382	12
Es	3.5833916664123535	1336
ging	2.3548974990844727	415
gegen	0.15748482942581177	277
Strich	0.12575776875019073	7
Männer	0.09560709446668625	168
o	0.7272186279296875	42
Knie	14.035576820373535	31
gezwungen	7.634611129760742	10
hatten	0.05760352686047554	511
Diese	0.00907272007316351	83
Gedanken	0.1233593001961708	121
quälten	0.04012252390384674	2
so	0.13222692906856537	1249
lange	0.16931812465190887	181
bis	0.6752229332923889	235
entschloss	1.0739526748657227	5
fahren	0.03841887414455414	83
Noch	2.1491105556488037	156
gehörte	0.08574604243040085	51
fand	0.3246641159057617	84
dort	0.8402289152145386	235
alle	0.11837098747491837	141
Bequemlichkeiten	0.11097963154315948	1
um	15.894944190979004	998
Strapazen	0.1008591502904892	4
seines	0.5478635430335999	50
Berufes	4.891146659851074	2
erholen	0.08622121065855026	7
können	0.39722222089767456	410
wollte	8.888914108276367	678
verkommen	0.8149417638778687	4
lassen	0.04260721802711487	153
was	0.5617440342903137	844
viel	0.09284082800149918	183
Liebe	0.08620883524417877	31
eingerichtet	0.010097901336848736	7
*	0.05100041627883911	367
Als	4.958062648773193	224
wenigen	0.11641254276037216	34
Häusern	1.2869274616241455	11
vorbeifuhr	0.1289205253124237	1
dem	0.06996141374111176	1824
Weg	0.21816742420196533	174
zur	0.4302982687950134	284
lagen	0.2747851312160492	60
warf	0.3054846525192261	99
keinen	0.04228266328573227	167
Blick	0.14682218432426453	298
Fenster	0.3079506754875183	120
Tor	2.8822710514068604	19
Pforte	1.7025495767593384	5
wie	0.10203057527542114	1314
verlassen	0.4236866533756256	110
verschlossen	0.2566591799259186	21
Dass	0.9115039110183716	77
niemand	1.109204888343811	75
erwartete	0.4880920648574829	26
machte	0.011606809683144093	135
nichts	0.4440702199935913	565
aus	0.09884542971849442	1382
Speisekammer	0.04197419434785843	1
waren	0.1359010487794876	727
genug	4.781863689422607	107
Vorräte	1.4960131645202637	2
selbst	0.17512927949428558	212
verköstigen	0.02481825463473797	1
Der	1.0369685888290405	999
Staub	0.42606595158576965	18
Zimmern	0.04824204370379448	3
störte	0.3709545135498047	22
beseitigte	0.09863407164812088	1
nur	0.020592307671904564	1027
Zimmer	1.2688908576965332	103
im	0.8439613580703735	743
ersten	0.8528919816017151	138
Stock	3.5835113525390625	14
wieder	0.2851874828338623	843
leben	2.390035390853882	32
Nebenzimmer	0.0252204779535532	5
betrat	0.8245791792869568	43
erklang	0.05293777212500572	20
eine	0.4308476448059082	1414
Männerstimme	6.093132972717285	7
war	9.757351875305176	3975
zurückgekommen	0.1265486478805542	9
trat	0.09780477732419968	107
legte	4.902288913726807	112
Schultern	0.936922550201416	112
Haushälterin	9.866948127746582	2
strafend	0.012820333242416382	1
gleich	0.17291440069675446	75
resolut	0.003187479916960001	1
Mamy	0.861638069152832	23
Du	0.18397150933742523	363
hättest	0.13681560754776	16
dieses	122.94828796386719	121
arme	1.535902738571167	4
Mädchen	0.084443598985672	120
ohne	0.1967761069536209	104
Gewissensbisse	0.08345863968133926	2
Nacht	0.06227611377835274	120
hinausgejagt	6.149373803054914e-05	1
hätte	0.2029358595609665	359
Und	0.3172096908092499	959
sollten	7.323841094970703	65
Sie	0.07640140503644943	2938
auch	0.46750250458717346	1907
tun	0.7725915908813477	258
Mister	0.6768172979354858	36
Young	0.06588173657655716	31
sehr	0.15935294330120087	324
Lowland	2.3942601680755615	10
hier	1.0854284763336182	605
dulden	0.0017099956749007106	1
Doch	0.6446706056594849	164
wir	0.020579073578119278	1140
zeigte	0.1487526297569275	105
ist	0.20113712549209595	1458
uns	0.27683836221694946	787
bleiben	1.222119688987732	101
Jetzt	0.14193661510944366	242
schlug	4.528308391571045	90
Hände	0.3098861575126648	154
vors	0.0001205931039294228	1
Gesicht	0.28638994693756104	422
wich	0.968798041343689	26
Schritte	0.19835223257541656	91
zurück	39.986412048339844	323
mich	0.2900789678096771	1423
töten	0.2542880177497864	56
habe	0.4394390881061554	539
Stell	0.007911192253232002	4
zog	2.6582484245300293	163
Sagst	0.7646566033363342	1
alles	0.057376664131879807	423
tue	1.1162594556808472	13
sei	3.7844176292419434	47
richtig	0.13376633822917938	68
Also	0.20611928403377533	51
nett	0.7943929433822632	9
hat	0.07868055254220963	634
nötig	0.23908352851867676	23
brauchst	0.028100304305553436	17
haben	0.3695492744445801	649
davontragen	0.05524082109332085	1
einer	0.9653164744377136	596
Frau	5.767142295837402	353
erwarte	0.01540171168744564	2
geschenkt	0.02538973093032837	8
biss	4.422828197479248	13
Lippen	1.044050931930542	132
schon	0.09268747270107269	762
aufzubrausen	0.001062100171111524	1
musste	1.4292670488357544	470
beherrschen	0.12482371181249619	12
sollte	0.3110635280609131	183
ihren	0.579348623752594	323
Wunsch	0.26030242443084717	15
erfüllen	0.14071547985076904	6
lehnte	0.588431715965271	24
tust	1.665444016456604	8
unrecht	0.0021279281936585903	1
oft	4.973511695861816	66
wild	0.5678060054779053	12
nun	39.77308654785156	136
einmal	0.6353949308395386	236
mein	1.5048922300338745	234
Temperament	0.014183299615979195	2
Wenn	0.017219247296452522	278
glauben	0.6650829911231995	79
kannst	0.17905305325984955	82
dann	0.6384304165840149	643
will	1.9395639896392822	192
dazu	0.17582610249519348	95
zwingen	0.03587289899587631	8
bitte	0.543377161026001	52
nimm	0.061485808342695236	3
Nur	0.4025738835334778	189
diese	0.4097856879234314	290
Hause	0.07889755070209503	45
gehen	1.072269082069397	158
Willst	0.0609905906021595	21
tötet	0.005228093359619379	5
einverstanden	7.405322551727295	10
dir	0.20487967133522034	364
komme	0.08923261612653732	30
gewusst	20.14765739440918	17
versprochen	0.018795201554894447	18
bin.	0.18961161375045776	16
Beschütze	0.013154351152479649	1
Morgen	0.06178106367588043	24
kann	0.8003573417663574	385
Eltern	0.03079960308969021	16
vorbereiten	0.08487049490213394	3
wollen	0.10771477222442627	136
sterbe	0.05362781137228012	5
muss	0.2997764050960541	188
Tageslicht	4.507735729217529	12
ihnen	0.03954150527715683	192
reden	0.47132205963134766	50
kämpfte	0.6576625108718872	16
Minuten	20.830402374267578	73
ntwortungsgefühl	0.9554211497306824	1
blieb	0.15343064069747925	357
Erst	0.474176287651062	73
erfuhr	0.9941546320915222	13
neben	1.0057367086410522	112
ihrem	0.18844516575336456	234
lag.	0.24430164694786072	45
zum	0.15195119380950928	345
Mal	0.20130623877048492	95
erstaunt	1.9764573574066162	10
stehen	2.0248477458953857	237
An	0.24915513396263123	79
Wand	0.32422909140586853	79
stand	2.369595527648926	403
Glasvitrine	1.2086150646209717	2
Pokalen	0.0003988415701314807	1
gefüllt	85.38668060302734	19
