	adels_att	count
genug	0.020139504224061966	87
,	0.14294524490833282	25597
um	0.046790286898612976	1091
einen	0.08739926666021347	1532
Durchsuchungsbefehl	0.48254626989364624	14
zu	0.016484394669532776	4163
erwirken	0.31645676493644714	6
wie	0.010196362622082233	1219
mir	0.03167946636676788	1230
Mr	2.206707715988159	201
High	26.14090919494629	136
vorhin	249.13174438476562	29
mitgeteilt	49.16510009765625	7
hatte	0.01803567260503769	1793
.	0.10954540967941284	25767
Wir	0.03526589274406433	863
mussten	0.018212907016277313	65
mehr	0.22582505643367767	516
herausfinden	2.4169554710388184	34
Wenigstens	0.061892375349998474	7
war	0.005852526519447565	2777
das	0.01712935045361519	3081
Bestatterfahrzeug	3.5606865882873535	2
in	0.022066455334424973	3881
den	248.6080780029297	3788
frühen	3.054705858230591	11
Morgenstunden	2.11092209815979	3
etwa	0.291178822517395	111
vierzehn	0.21362406015396118	8
Meilen	2.6716973781585693	26
östlich	2.1228692531585693	5
von	0.6240542531013489	1911
aus	0.27171751856803894	1393
einem	0.00861244834959507	1005
Seitenarm	0.016950611025094986	2
des	0.23389694094657898	898
Schuykill	5.370340347290039	2
geborgen	2.7633936405181885	2
worden	3.7672934532165527	239
Die	0.05360911786556244	1018
Spurensicherung	50.303680419921875	11
arbeitete	3.251077890396118	27
gerade	0.16207411885261536	290
daran	1.3354806900024414	130
Hinter	0.03854023665189743	33
öffnete	0.053644612431526184	103
sich	0.37460580468177795	3542
die	0.18304769694805145	6763
Tür	0.18752656877040863	321
und	0.01319105178117752	7232
trat	0.637869119644165	108
ein	0.016763722524046898	2497
Da	0.020290754735469818	210
wir	1.277633547782898	1905
gestern	1.8132811784744263	48
so	0.04187357425689697	1046
lange	0.032273244112730026	143
unterwegs	0.05082941800355911	32
gewesen	0.7100276350975037	253
waren	0.11211276799440384	607
wollte	0.008063267916440964	471
er	0.061198942363262177	3458
für	0.033815301954746246	914
diesen	0.5748867988586426	153
Tag	0.8711157441139221	102
vorbeugen	0.030164889991283417	2
mit	0.06967248022556305	2684
ee	2.458099842071533	71
Sandwiches	0.596198558807373	2
versorgt	5.044548511505127	7
»	0.08841083943843842	9909
Hier	0.3232256770133972	93
Truthahn	0.007011439651250839	1
dich	0.030051708221435547	217
richtig	0.04141176491975784	95
?	0.45194655656814575	3202
«	4.3224406242370605	9869
fragte	0.0342818908393383	532
gut	0.02704874612390995	321
gelaunt	0.32625988125801086	2
legte	0.8762974739074707	142
Sandwich	0.021866533905267715	2
auf	0.23314203321933746	3023
Schreibtisch	0.9138584733009338	42
Dazu	0.9172977209091187	21
stellte	0.38122615218162537	146
Das	3.6183838844299316	1101
ist	6.192070960998535	1902
ja	0.21533305943012238	501
Service	0.19505512714385986	4
!	0.2664805054664612	1055
Ich	0.4822654724121094	2639
danke	0.5452069640159607	19
dir	0.004148042760789394	195
setzte	15.37625789642334	128
Schreibtischkante	1.085911512374878	1
Du	0.017682865262031555	233
bist	0.010592279955744743	84
erst	0.022854330018162727	167
ins	0.20072346925735474	266
Büro	0.9024585485458374	138
gekommen	0.3064006567001343	101
siehst	0.02523445151746273	10
schon	0.7866601347923279	600
fertig	0.3750714659690857	28
nahm	0.03353949636220932	177
Schluck	0.02623589150607586	13
dem	1.2512359619140625	1979
Pappbecher	1.2782498598098755	1
gebe	0.07186951488256454	32
manchmal	0.4811035692691803	30
macht	0.592995822429657	71
meine	0.12181274592876434	384
Ungeduld	2.139308214187622	4
wenig	0.27796289324760437	168
schaffen	0.16883233189582825	26
Hast	0.009293762966990471	36
du	0.06480960547924042	722
Mail	0.00926242396235466	2
gelesen	4.8952250480651855	20
nickte	1.9802409410476685	253
Dass	0.11142654716968536	40
etwas	0.3080188035964966	578
verbergen	0.05118125304579735	11
hat	365.6832275390625	961
uns	0.5772507786750793	1133
klar	0.010725625790655613	103
denen	0.02034764364361763	96
angehende	0.009309590794146061	1
FBI-Agenten	4.186376571655273	3
ihr	0.012029837816953659	596
Training	0.5176767706871033	5
absolvierten	0.2707202732563019	1
Selbst	0.013578427955508232	32
der	16.168251037597656	5640
Entfernung	8.557315826416016	10
Lärm	0.29257798194885254	15
ohrenbetäubend	0.0019486560486257076	1
sodass	0.14054283499717712	41
eine	0.04554550349712372	1789
Unterhaltung	1.702262282371521	13
kaum	0.00471646711230278	105
möglich	0.013094674795866013	91
erwartete	1.8828140497207642	19
vor	0.07794533669948578	834
Eingänge	2.971561908721924	6
ich	0.3342486321926117	4473
bin	0.11557817459106445	288
erfreut	2.035057544708252	16
Sie	0.34319519996643066	3511
beide	0.05597519502043724	86
wieder	0.027701735496520996	582
Beinen	0.03622379153966904	18
sehen	0.032638538628816605	230
begrüßte	8.27470874786377	21
Den	0.1147717535495758	51
Fall	0.08740968257188797	226
haben	0.3550301790237427	1180
erfolgreich	0.2690295875072479	12
abgeschlossen	0.26764097809791565	21
erwiderte	0.42551159858703613	208
reichte	0.039526719599962234	51
Hand	677.4752807617188	251
Bei	0.05122610554099083	71
aller	0.10128986090421677	50
Bescheidenheit	1.3565362691879272	4
nicht	0.00558282807469368	3513
nur	0.03032662533223629	868
Mord	2.9529905319213867	81
an	3.3378713130950928	1936
aufgeklärt	0.37654685974121094	6
sondern	0.002036548685282469	105
auch	0.04221062734723091	1028
dazu	0.34565162658691406	116
beigetragen	284.49603271484375	3
größten	0.33154672384262085	11
Drogenringe	124.49688720703125	1
Operation	0.2699527144432068	14
Section	6.824406623840332	3
East	9.960166931152344	16
auszuheben	110.12522888183594	1
–	0.07993225753307343	710
Waffenhandel	30.0664005279541	1
noch	0.31663161516189575	1240
nebenbei	3.748110771179199	3
betrieb	1.1160259246826172	2
ganz	0.062024325132369995	316
schweigen	0.07080213725566864	12
sagte	0.032763611525297165	1379
Grinsen	0.04438403248786926	13
es	0.22244267165660858	2271
sonst	0.10348299145698547	94
seinem	2.2724156379699707	323
Kollegen	20.51689910888672	145
kannten	0.8381699323654175	19
Sämtliche	0.19452930986881256	2
konfiszierten	0.17235338687896729	2
s	0.25932228565216064	366
Hinterzimmer	0.5963457822799683	9
besaßen	0.09521560370922089	3
keine	0.011226106435060501	422
Seriennummern	0.007157334592193365	1
Mordwaffe	44.660980224609375	3
gehört	4.964837551116943	108
eindeutig	0.09867304563522339	28
zum	0.030123909935355186	543
Sortiment	2.6507744789123535	1
Nun	0.017992092296481133	94
dann	0.28255945444107056	748
Zeit	0.005167283117771149	320
dass	0.05194169282913208	1732
versprochene	1.0351486206054688	1
Spritztour	0.16823749244213104	3
begeben	7.130450248718262	5
schlug	0.04004933312535286	96
Nichts	23.669719696044922	39
lieber	0.2662716209888458	55
als	0.05314162001013756	1317
gab	0.10032858699560165	383
ihn	0.029180312529206276	975
ohnehin	0.05897378548979759	19
unter	0.02558807283639908	225
Druck	0.18242479860782623	23
gesetzt	0.12922173738479614	32
was	0.31770622730255127	867
Firmenübernahme	0.23993027210235596	1
angeht	14.849655151367188	13
Damit	0.3947634994983673	49
endgültig	0.557054877281189	11
Richtig	0.8143942356109619	25
Was	0.1274641901254654	437
Boots	0.3246060907840729	27
nehme	7.252315998077393	34
mal	0.11182143539190292	338
Zusammentreffen	0.005037853494286537	4
ähnliche	0.14809875190258026	6
Geschäfte	0.5800901055335999	23
bei	0.1566411405801773	559
verwickelt	6.278421401977539	9
sah	0.41939857602119446	464
seiner	0.27840539813041687	321
Liaison	0.6001974940299988	3
Mrs	0.11630933731794357	78
ce	0.20880559086799622	49
vorbei	0.09522118419408798	79
kassieren	0.7371141314506531	4
dachte	0.5851059556007385	152
kurz	40.029598236083984	148
nach	0.6734982132911682	989
Wer	0.5887848734855652	102
fünf	0.0598408542573452	58
Kerle	20.21029281616211	36
hier	0.27500614523887634	555
aufgelauert	0.008066423237323761	4
Drogendealer	0.03453940153121948	3
Wind	3.7647244930267334	30
davon	0.20757625997066498	177
bekommen	0.14248867332935333	96
eigenes	3.382901906967163	16
Ding	0.8870364427566528	15
dreht	0.5136159658432007	2
Vermutlich	0.2537086606025696	24
sind	270.5571594238281	559
sie	0.049732014536857605	2518
dahintergekommen	0.9552788734436035	4
Leichenfeld	0.01343173161149025	3
entdeckt	0.5116737484931946	28
oder	0.04392378777265549	510
später	0.05625256523489952	206
Mordfall	2.610081911087036	8
Bestatters	0.04045255482196808	2
Presse	39.88205337524414	13
erschien	0.39014071226119995	52
dingfest	10.920686721801758	3
gemacht	1.7127629518508911	116
tot	0.15619754791259766	78
