	adels_att	count
zu	0.20125222206115723	4471
verdauen	0.01791265606880188	2
.	0.05223827064037323	25784
Er	0.050125330686569214	1868
schwieg	6.657111644744873	41
uns	0.010562953539192677	838
zunächst	0.14183571934700012	36
an	9.121094703674316	1809
war	188.83944702148438	3261
sehen	0.7019774317741394	231
,	0.3320004642009735	24443
dass	0.36764007806777954	2480
ihn	0.2757527232170105	1039
ein	0.30690789222717285	2269
Schauer	0.010350976139307022	5
erfasste	0.12268885225057602	9
und	1.5075360536575317	7833
schließlich	4.70060396194458	99
fragte	1.9973431825637817	356
er	0.016178324818611145	4020
flüsternd	0.08037906140089035	4
:	0.0830044224858284	848
»	0.013223567977547646	6719
Können	0.5339528918266296	12
Sie	5.552032947540283	1724
mir	0.007512340322136879	869
mehr	0.03951578214764595	721
über	0.04997074604034424	839
mich	0.23137974739074707	980
sagen	1.805891513824463	162
?	2.2057137489318848	2002
Ich	1.3650048971176147	1765
weiß	0.034709617495536804	178
es	0.02685416117310524	2520
nämlich	0.04883211478590965	24
nicht	62.61429214477539	3470
ich	0.23923343420028687	2559
bin	0.021331191062927246	199
völlig	0.048228975385427475	114
daneben	744.3683471679688	9
Mir	0.07360247522592545	41
fehlt	0.040702737867832184	8
die	0.06040134280920029	8447
Zeit	1.3261853456497192	366
einfach	6.233360290527344	117
«	1.0328328609466553	6693
Es	0.5488042831420898	1042
ist	24.355167388916016	1322
gut	0.14146992564201355	237
so	2.0591723918914795	985
In	97.20437622070312	292
den	0.5926782488822937	4281
nächsten	0.030766237527132034	114
Minuten	0.39232325553894043	120
erfuhr	9.714571952819824	19
von	0.07400180399417877	2193
Schreien	0.661058247089386	4
in	0.177361860871315	4079
der	0.1150098592042923	7183
Nachbarschaft	0.020959345623850822	2
gehört	1.8243144750595093	65
worden	3.826512575149536	226
waren	9.860196113586426	957
als	0.13593727350234985	1492
sein	0.14860741794109344	867
Aussehen	13.057807922363281	8
mit	0.11033175885677338	2348
dem	0.027284203097224236	2056
Echsenkopf	0.005090001970529556	1
beschrieb	3.816403388977051	6
da	125.7718734741211	296
presste	0.242294043302536	18
seine	0.014150474220514297	651
Hände	0.0575786828994751	100
rechts	0.02205818146467209	41
links	0.5686612725257874	29
gegen	0.5073269605636597	283
Kopf	0.05907721072435379	255
Hören	0.005688880570232868	2
auf	0.02232169732451439	3219
!	0.36419904232025146	1747
Das	0.0258964654058218	1017
kann	0.1269502192735672	335
wahr	0.036379460245370865	67
Warum	503.88037109375	95
sollte	0.03583426773548126	159
anlügen	0.22167542576789856	1
Ja	0.050670720636844635	78
ja	2.3205018043518066	127
warum	0.37831243872642517	67
sollten	91.89795684814453	74
das	0.07670706510543823	3213
Begreifen	0.030432961881160736	3
Rätsel	0.05131511762738228	13
glauben	6.372346878051758	59
wir	45.6950569152832	1158
Ihnen	0.07448842376470566	77
gern	0.003401361405849457	22
trotzdem	0.17213891446590424	17
muss	0.04921068996191025	186
eine	0.062464483082294464	1761
Erklärung	0.01944687031209469	19
geben	0.013032415881752968	95
dazu	3.219702959060669	128
gekommen	0.014023122377693653	112
damit	0.17037934064865112	258
dienen	0.05621820315718651	15
Und	0.005851350259035826	512
was	0.06403300911188126	721
meinen	63.386260986328125	142
Ein	0.13320687413215637	436
Wort	10.492907524108887	71
schon	0.030525028705596924	427
zugunsten	0.0005689064273610711	1
eines	5.772227764129639	317
gewöhnlichen	0.08401437848806381	3
Berufs	1.0703645944595337	1
ausschlägst	0.009225170128047466	1
erwarte	0.1829671859741211	4
du	0.04594392329454422	851
diesen	0.05186920240521431	215
auch	0.11200898140668869	994
nach	0.5072308778762817	934
bestem	0.09560000151395798	2
Wissen	0.30213063955307007	32
erfüllst	0.0023384641390293837	1
“	0.7317498922348022	506
seufzte	5.08908748626709	24
„Und	0.252820760011673	15
nun	0.16608095169067383	210
mal	0.1928272843360901	37
einem	3.7935791015625	794
Partner	0.1415705531835556	17
Patrouille	3.5243632793426514	1
gehen	0.02435983158648014	107
Entweder	0.17363974452018738	18
oder	0.0336683988571167	519
bekommst	0.21719218790531158	3
einen	1.7708531618118286	1246
schönen	0.019244709983468056	4
ruhigen	0.012759322300553322	5
Posten	0.0753263533115387	15
im	17.674257278442383	896
Büro	0.02850363776087761	10
Deine	7.3264546394348145	16
Entscheidung	0.034970566630363464	42
Der	0.7697470188140869	1101
Neue	2.9248204231262207	5
hieß	664.8811645507812	22
Yuen	950.2877807617188	15
nur	0.7251988649368286	1002
Jahr	0.07302859425544739	18
jünger	0.12088415026664734	2
Maylin	6871.4951171875	34
„Es	1.2303071022033691	16
freut	0.016134636476635933	5
dich	0.017651434987783432	344
kennen	0.43755415081977844	50
lernen	0.11577939987182617	10
sagte	0.06055011972784996	900
begeistert	13.71066951751709	10
„Ich	0.06635415554046631	40
konnte	0.014063043519854546	774
gar	0.5361627340316772	128
ausgerechnet	0.09599000960588455	18
dir	0.03935866802930832	289
zugeteilt	0.7322757840156555	2
werden	0.5169792175292969	590
Tochter	0.09468536823987961	17
Seherin	52.677738189697266	8
große	0.7740863561630249	119
...	0.04165252670645714	489
„Meine	0.14396141469478607	3
Mutter	0.6659995913505554	18
seit	0.15162116289138794	90
einigen	26.072187423706055	69
Jahren	5.641735076904297	43
keine	0.01743186078965664	492
unterbrach	0.0036429730243980885	20
genervt	0.9621537923812866	1
Wortschwall	0.03221532702445984	1
lachte	139.6721954345703	47
gelaunt	10.61736011505127	1
„Das	0.1218096911907196	18
doch	0.0071743810549378395	372
eigentlich	0.020146328955888748	53
ihre	0.04808974638581276	429
Nachfolgerin	0.3157255947589874	1
solltest	0.055035918951034546	18
deine	0.05510758236050606	73
Schwester	0.17600862681865692	10
„Unsinn	0.6282148957252502	2
Meine	0.059653062373399734	49
Ältere	22.00278663635254	1
beiden	0.07622889429330826	324
richtig	0.03253629058599472	62
so.	0.4944353699684143	14
ließ	0.14097490906715393	329
stehen	32.11649703979492	119
ging	0.29587849974632263	266
zum	1.1416383981704712	430
Hangar	1.662411093711853	25
am	0.5886029005050659	305
Rand	0.5095945000648499	52
des	0.16962657868862152	1556
Stalaktiten	104.5998764038086	2
drohend	0.5517482757568359	15
Mit	2.415109157562256	267
einer	0.2113243192434311	769
hastigen	0.24624384939670563	1
Geste	0.24994555115699768	37
scheuchte	0.41992896795272827	1
davon	0.15290948748588562	223
hatte	370.3183898925781	1958
insgeheim	1.079268455505371	5
dieser	0.1728447675704956	409
Entwicklung	31.233158111572266	26
gerechnet	0.17084753513336182	26
Dass	1033.4403076171875	48
sich	0.01881549134850502	4639
meiner	0.028151514008641243	98
Weisung	0.10792408883571625	1
widersetzt	0.011548020876944065	1
Roboter	151.52804565429688	176
wirklich	0.01846667379140854	133
abgeschaltet	9.49118709564209	7
glaubte	0.023247722536325455	76
vermutete	5.095496654510498	22
vielmehr	0.42573288083076477	7
ungewöhnliche	0.053168121725320816	3
Maschine	7.516478061676025	57
Kybernetiker	832.2562866210938	12
getäuscht	6.798140048980713	15
ganze	0.14037871360778809	69
voll	4.374160289764404	37
funktionsfähig	0.06527740508317947	4
gewesen	3.26750111579895	230
Für	0.01807413250207901	92
aber	0.09143264591693878	973
alles	0.03441677987575531	290
Katastrophe	0.3247208595275879	17
jämmerlich	0.19413042068481445	2
versagt	0.02173364907503128	5
haben	3.792973041534424	682
–	0.031026190146803856	1040
sah	0.5440968871116638	505
man	0.9573680758476257	317
seinem	0.02839238941669464	259
Gesicht	0.04003719240427017	168
deutlich	0.03425594046711922	62
Kinder	0.42869001626968384	18
diese	1.5235424041748047	437
rebellierten	0.007813222706317902	1
ohne	1.2484939098358154	284
etwas	0.009957822039723396	502
dagegen	0.13808821141719818	57
unternehmen	14.22109603881836	27
Lauf	0.13433533906936646	24
Jos	0.07481255382299423	1
schrie	0.00563255837187171	108
hastete	0.19535845518112183	10
wie	0.34365832805633545	1279
erstarrt	0.10089229792356491	7
Stelle	0.027742987498641014	99
stand.	0.14661575853824615	32
packte	11471.9912109375	35
Mann	3.6610095500946045	213
zerrte	2.282083511352539	24
langsam	3.926754951477051	113
sie	0.07593519985675812	2787
trottete	0.27259334921836853	3
gleichsam	0.25723475217819214	6
hinter	51.111934661865234	206
her	0.17542457580566406	132
deswegen	0.7661479711532593	3
minder	1.2199866771697998	7
gefährlich	0.06076602637767792	43
Immerhin	0.6970802545547485	36
schwer	1.0389176607131958	62
bewaffnet	0.3533119261264801	13
wenn	0.9786874055862427	537
bewegen	2.501082420349121	33
dann	0.07241687923669815	697
fraglos	0.1759549230337143	2
schießen	0.279539555311203	14
Ob	0.1710558980703354	28
s	0.1048150360584259	347
Störungen	0.6708534359931946	3
tief	6.278527736663818	56
reichten	0.07750341296195984	8
sogar	156.61785888671875	98
elementare	0.14029397070407867	2
Programmierung	3.175230026245117	8
außer	0.046486712992191315	51
Kraft	0.3551485538482666	65
setzten	0.4856046140193939	25
ganz	4.48756742477417	207
besondere	30.08429527282715	19
Art	7.410720348358154	98
Humor	2.659992218017578	9
Llewyn	329.91156005859375	6
überhörte	0.008597077801823616	1
ironischen	0.04194404184818268	2
Unterton	0.045324113219976425	6
„Ja	0.2865164279937744	7
Herr	0.5467419028282166	37
bestätigte	0.5665128231048584	35
„Schon	0.11403237283229828	2
immer	0.21249403059482574	424
entriegelte	0.023211315274238586	2
Pferch	1.821732521057129	8
zog	10.236738204956055	131
Tür	0.18655654788017273	105
Als	0.5367482900619507	325
zwei	0.07095620036125183	282
weiteren	0.06213812157511711	49
Kos’maros	101.51518249511719	10
hineinbegab	0.09291120618581772	1
wuselten	0.0030226109083741903	1
Lollops	153.1770477294922	8
verzweifelt	0.3145137131214142	20
umher	0.2279336154460907	10
Einige	0.09125763177871704	44
wollten	0.15899841487407684	54
unter	0.0962434932589531	354
Behältern	46.39289474487305	3
verstecken	0.6591625809669495	19
sprang	0.017843307927250862	67
Futtertrog	4.300975322723389	1
weiterer	0.17913775146007538	14
kroch	0.2024913728237152	18
darunter	5.094783306121826	11
Zwei	0.17106473445892334	45
versuchten	0.1137666404247284	33
Maschen	0.0871141254901886	1
Zauns	12.023428916931152	1
hochzuklettern	0.09429953247308731	2
dafür	0.019294127821922302	132
Bäuche	2.2784855365753174	3
rund	0.5371838808059692	34
Finger	0.5889413356781006	52
schwach	7.1212005615234375	28
Einer	5.169726371765137	26
fiel	0.05095094442367554	92
Boden	15.249712944030762	250
andere	0.033795274794101715	249
noch	0.02536061964929104	1305
Moment	0.4077078104019165	103
