	words	loglike
0	aal	3.799493119735835
1	aale	
2	aalglatt	4.57605299599477
3	aalglatte	0.009412452864512338
4	aalglatten	
5	aalglatter	
6	aalte	0.08176477399293836
7	aaran	
8	aarl	
9	aarlon	
10	aaron	
11	aarons	
12	aartje	
13	aas	4.57605299599477
14	aasfresser	2.565948594043658
15	aasgeier	5.898670925400928
16	aasgeiern	11.10672770874416
17	ab	220.56542730002138
18	aba	
19	abandur	
20	abandurs	
21	abania	
22	abarbeiten	0.13543246135196063
23	abaringo	
24	abarro	
25	abart	
26	abarten	
27	abartig	0.3026045283671417
28	abartige	0.8047299288999774
29	abartigen	
30	abband	0.2567499025389979
31	abbau	0.04313375134982367
32	abbauen	1.528852368216651
33	abbaute	0.048540278927881375
34	abbe	
35	abbeißen	2.776582475199647
36	abbekam	2.3308647653163104
37	abbekamen	
38	abbekommen	23.984048774082254
39	abbekommt	
40	abbensen	26.331123353077356
41	abberief	
42	abberufen	0.16892472534182978
43	abbestellen	0.2567499025389979
44	abbestellt	17.4765047855668
45	abbey	9.85844663664638
46	abbezahlen	
47	abbezahlt	0.09708055785576275
48	abbiegen	7.098586502738092
49	abbiegt	2.644252874957963
50	abbiegung	
51	abbild	19.774443722239134
52	abbilder	
53	abbildeten	0.00487645310779139
54	abbildung	0.35960494614454586
55	abbildungen	0.004042319391702742
56	abbinden	
57	abbitte	0.04876453107791412
58	abbitten	0.2567499025389979
59	abbittend	
60	abblasen	2.8873396435213654
61	abblitzen	15.136999556755779
62	abblocken	0.018824905729024677
63	abblockte	0.1635295479858767
64	abblätterte	0.04313375134982367
65	abbog	3.897178905996528
66	abbogen	
67	abbot	
68	abbrach	3.3080605574601734
69	abbrachen	0.8540886231156881
70	abbrachte	0.009412452864512338
71	abbrannte	
72	abbrass	
73	abbrechen	4.466201599885213
74	abbremsen	
75	abbremste	4.055760051160237
76	abbremsten	
77	abbrennen	0.1282430837416474
78	abbrennt	0.08176477399293836
79	abbricht	0.7702497076169967
80	abbringen	0.41414792603851236
81	abbringt	1.211976199670474
82	abbruch	0.011541440348136645
83	abbruchhaus	0.009412452864512338
84	abbruchkante	
85	abbruchreife	
86	abbruchreifen	
87	abbröckeln	
88	abbröckelnden	2.644252874957963
89	abbuchen	
90	abbusseln	
91	abby	
92	abbys	
93	abbé	
94	abbés	
95	abbüßen	
96	abc	
97	abchecken	
98	abd	
99	abdanken	0.1282430837416474
100	abdecken	1.3089479024735038
101	abdecker	
102	abdeckplatte	
103	abdeckt	
104	abdeckte	1.4436698217606827
105	abdeckten	
106	abdeckung	12.787089145693539
107	abdeckungen	
108	abdrehen	1.6563127715338006
109	abdrehte	1.4436698217606827
110	abdrehten	
111	abdriftete	
112	abdruck	14.033398093139287
113	abdrängen	0.04313375134982367
114	abdrücke	17.49062535973604
115	abdrücken	29.631206341922116
116	abdrückte	11.313994361340306
117	abdrückten	
118	abducken	
119	abdul	126.07019925542505
120	abe	
121	abeba	
122	abebben	0.08176477399293836
123	abebbte	
124	abebbten	
125	abedsaid	
126	abel	6.591481240746397
127	abend	596.7097952377674
128	abendandacht	
129	abendanzug	51.91881276918559
130	abendausgaben	
131	abendbrot	0.10884711202338115
