	words	loglike
0	ab	1.701453183645832e-06
1	abbekommen	0.009277871121084058
2	abbiegen	0.004857989877939957
3	abbild	0.009998472581808807
4	abbot	
5	abbrach	0.013242511679814412
6	abbrechen	0.010661159796405171
7	abbringen	0.001988261680783872
8	abbruch	0.0009280673275580843
9	abdruck	0.013427648955066445
10	abdrücke	0.010212248059211318
11	abdrücken	0.01896215142179012
12	abend	0.014617330838802872
13	abendbrot	0.0005620228902731093
14	abenddämmerung	0.00042880644827655336
15	abende	0.007030815145660743
16	abendessen	0.08501215611284171
17	abendkleid	0.26099792425487933
18	abendlichen	0.0019458277849584114
19	abends	0.011782945848320105
20	abendsonne	4.404772166197038e-05
21	abenteuer	0.01273211445703075
22	abenteuern	0.0016215080735952608
23	abenteurer	0.0025278427556994273
24	aber	0.0032338757804946903
25	abermals	0.00471597329748822
26	abfahren	0.012400395757344314
27	abfahrt	0.0029007807845128283
28	abfall	0.01959662002526904
29	abfangen	0.013700648242441146
30	abfiel	0.0008013641674923929
31	abfinden	0.0002588320751881982
32	abflug	0.00044040058153013706
33	abfuhr	0.010559760769011182
34	abfällig	0.016877789037970894
35	abgab	0.003235841406639092
36	abgaben	0.0039964719257291285
37	abgang	0.0038225415703107488
38	abgebaut	0.001596390202447854
39	abgeben	0.0008637158890524993
40	abgebildet	0.005760489198468992
41	abgebrochen	0.01121615159378649
42	abgedeckt	0.005296817427831254
43	abgefahren	0.01606496029124993
44	abgefallen	0.007271195335084451
45	abgefangen	0.01102370913731915
46	abgefeuert	0.021607164375543258
47	abgefunden	0.0011286646973998268
48	abgegeben	0.0003970340458281244
49	abgehackt	0.003596199307189782
50	abgehalten	0.0006869021564288903
51	abgehauen	9.941064152367996e-05
52	abgehoben	0.000495897207083055
53	abgeholt	4.6198584546903836e-05
54	abgehört	0.03482565051041246
55	abgeklungen	0.021577764241226136
56	abgekommen	0.001027835904456785
57	abgekühlt	0.0016880682267868038
58	abgelaufen	0.007681514442439648
59	abgelegenen	0.00021646669436649248
60	abgelegt	5.9473598727717136e-05
61	abgelehnt	0.01679228012077539
62	abgelenkt	0.0006825280288605302
63	abgeliefert	0.004120523884999798
64	abgelöst	0.005747043577295578
65	abgemacht	0.003992627071926352
66	abgeneigt	0.021148194098423355
67	abgenommen	1.0156110400693242e-05
68	abgereist	0.09968831110248305
69	abgeriegelt	0.03265584138183711
70	abgerissen	0.003835179969592876
71	abgesagt	0.05300075431415985
72	abgeschaltet	0.026782800210726668
73	abgeschiedenheit	0.0003930935340127348
74	abgeschirmt	7.297823718717834e-05
75	abgeschlagen	0.0010781362200641574
76	abgeschlossen	0.0008603408352652686
77	abgeschnitten	0.005264090338300735
78	abgeschossen	0.008978317821724677
79	abgeschüttelt	0.00017314455387339688
80	abgesehen	0.00011528128329029667
81	abgesetzt	0.0033906765641524336
82	abgesichert	0.0005893499252883306
83	abgesperrt	0.006390865674618999
84	abgespielt	0.002140809017074809
85	abgesprochen	0.0002844234034390953
86	abgestellt	0.005531947724277607
87	abgestellten	
88	abgestiegen	0.022858234975455097
89	abgestimmt	0.00012216108480878757
90	abgestoßen	0.0038720098913053586
91	abgestrahlt	
92	abgestürzt	5.844727451492608e-05
93	abgesucht	0.0017014711380200533
94	abgetan	0.0005521719222311662
95	abgetrennt	0.004528826376173365
96	abgetrieben	0.005805243852927659
97	abgewandt	0.08630008474762357
98	abgewartet	0.0018471993830525713
99	abgewehrt	0.002423749135763686
100	abgewiesen	0.010532330399351267
101	abgezogen	0.004683276013989969
102	abgrund	0.0006306537670144495
103	abgrundtief	0.010827750072787235
104	abhalten	0.002242363694994932
105	abhanden	0.00019325301591668507
106	abhang	0.003753040345971896
107	abhauen	0.009610437830004467
108	abheben	0.0014607309301340847
109	abhielt	0.0076336942039202885
110	abhob	0.001976924020681798
111	abholen	6.229776018155378e-05
112	abholte	0.001427918470532646
113	abhängen	0.01284336492500613
114	abhängig	0.00010748092788077533
115	abhängigkeit	0.00347837181256668
116	abitur	0.02663467978266163
117	abkommen	0.003139623013718151
118	abkürzung	1.9868816656407138e-05
119	ablauf	0.000949299916485782
120	ablaufen	0.005268659273957499
121	ableben	0.008313353433316122
122	ablegen	0.005577272133208935
123	ableger	0.009140917096263735
124	ablehnen	0.04447192665699569
125	ablehnend	0.014370006769351719
126	ablehnte	0.04162461841751525
127	ablehnung	0.015309064155554442
128	ablenken	0.001056352660887801
129	ablenkung	0.014960994443390475
130	ablenkungsmanöver	6.903088817628456e-05
131	ablesen	0.008259186719471033
132	ablief	0.009790746345303192
133	abliefern	0.0014013710229445822
134	abläuft	0.0019776408518143024
135	ablösen	0.007871978937379875
136	abmachung	0.0014895807607676823
137	abnahm	0.001235041376593896
138	abnehmen	9.824678210835114e-06
139	abneigung	0.030422455419265866
140	about	
141	above	
142	abraham	
143	abrechnung	0.0015559415224927547
144	abreise	0.07424411080806145
145	abreisen	0.1036202222700343
146	abreißen	0.014337023470969726
147	abrupt	6.0736634496145765e-06
148	absage	0.08009870377857733
149	absagen	0.1011208268238748
150	absah	0.0059779937175894055
151	absatz	0.0007475341978592969
152	abschalten	0.0035318859120171357
153	abscheu	0.0009696718305924655
154	abschied	0.023450627747064703
155	abschießen	0.013478695353715188
156	abschirmung	
157	abschlagen	0.014036069865656399
158	abschließen	0.009808261475452017
159	abschließend	0.003495572099181554
160	abschloss	1.1583683695074202e-05
161	abschluss	0.007938073778610933
162	abschneiden	0.00046520230826579793
163	abschnitt	0.006668515236933582
164	abschrecken	0.0012324124333082769
165	abschätzen	0.008859976654615902
166	abschätzend	3.8216094031761315e-05
167	abschütteln	0.00041004938788264354
168	absehbarer	0.05367434623227613
169	abseits	0.001520235080288845
170	absender	0.002348535404680503
171	absetzen	0.007386134968012808
172	absetzte	0.00027467595159044473
173	absicht	0.00986636358476756
174	absichten	0.014583656095428173
175	absichtlich	0.014904067824761814
176	absolut	0.0016500915058282814
177	absolute	0.00286510986074311
178	absoluten	0.007258256829533263
179	absoluter	0.01258808572265285
180	absolviert	0.010599296859759987
181	absperrung	0.007915574368515522
182	abspielen	0.00835673582594554
183	abspielte	0.007424519479482647
184	abstammung	0.0038346967967575474
185	abstand	0.00531995533779097
186	abstatten	0.0030406954918835195
187	abstecher	0.002015802310378496
188	abstellen	0.0013468204056153524
189	abstellte	1.5870542436532942e-06
190	abstieg	0.0018481986412563593
191	abstimmung	0.044927320723857675
192	abstoßend	0.0005923959636193717
193	abstrahlen	
194	abstreiten	9.210302321864755e-06
195	absturz	0.0022410152987889335
196	abständen	0.0053328114535266865
197	abstürzen	0.02073420513419818
198	abstützen	0.009592288376314791
199	absuchen	0.00027842249163563277
200	absurd	0.010777461742272346
201	absätze	0.01019302746258122
202	absätzen	0.026022674489319844
203	abt	0.011404111316533279
204	abteil	0.023142543733798267
205	abteilung	0.01428113754280325
206	abteilungen	0.02407440415138688
207	abtransport	0.008456414350595413
208	abtransportiert	0.023539098818265027
209	abwandte	0.015076830172090827
210	abwarten	0.0006845943522054733
211	abwartend	0.0032354225211791536
212	abwechselnd	0.0006422184905034165
213	abwechslung	0.021583741357197123
214	abwegig	0.05506768516542304
215	abwehr	0.0007472378413358981
216	abwehren	0.00018980261817566884
217	abwehrend	0.010657637065299392
218	abwehrende	0.002413315139433299
219	abweichung	0.014082553541051635
220	abweichungen	0.004665931689937607
221	abweisen	0.03230490276359125
222	abweisend	0.010733627192874268
223	abwenden	0.02762262451784761
224	abwesend	0.02377202952640342
225	abwesenheit	0.031282845072004836
226	abwärts	0.003751944521790559
227	abzeichnete	0.014692176871566525
228	abzeichneten	0.00010176971912895499
229	abziehen	0.00035320057208532585
230	abzubrechen	0.00820262604646653
231	abzubringen	0.011360712613030496
232	abzufangen	0.02398865331793193
233	abzufinden	0.000528209379752822
234	abzug	0.023786776454180855
235	abzug.	
236	abzugeben	0.0005113228483129388
237	abzuhalten	0.0022991566876387846
238	abzuholen	0.008894730228071433
