	words	loglike
0	aal	0.4379717605291389
1	aale	
2	aalglatt	0.7823291367612835
3	aalglatte	
4	aalglatten	0.4778989628165806
5	aalglatter	0.14599058684304622
6	aalte	0.0710739377086505
7	aaran	
8	aarl	
9	aarlon	
10	aaron	
11	aarons	
12	aartje	
13	aas	4.743101780871024
14	aasfresser	
15	aasgeier	2.6761207001485356
16	aasgeiern	
17	ab	218.03254246380106
18	aba	
19	abandur	
20	abandurs	
21	abania	
22	abarbeiten	0.008488497222290392
23	abaringo	
24	abarro	
25	abart	
26	abarten	
27	abartig	1.4478295037135274
28	abartige	0.7620195017921403
29	abartigen	
30	abband	2.5802136933108613
31	abbau	
32	abbauen	0.010563492950772635
33	abbaute	
34	abbe	
35	abbeißen	2.6413416090297144
36	abbekam	0.9728965781557939
37	abbekamen	
38	abbekommen	0.8983636604488154
39	abbekommt	0.2389494814082903
40	abbensen	
41	abberief	
42	abberufen	
43	abbestellen	0.2389494814082903
44	abbestellt	0.14599058684304622
45	abbey	
46	abbezahlen	11.906515779869322
47	abbezahlt	0.12027996833897658
48	abbiegen	1.3633003558142827
49	abbiegt	
50	abbiegung	
51	abbild	36.15248473617033
52	abbilder	
53	abbildeten	
54	abbildung	5.108913234676217
55	abbildungen	9.569868548076226
56	abbinden	2.2780099656214685
57	abbitte	3.6055185690884297
58	abbitten	0.2389494814082903
59	abbittend	0.0710739377086505
60	abblasen	0.01772026769612911
61	abblitzen	0.24821701984597944
62	abblocken	
63	abblockte	0.2607763789204277
64	abblätterte	1.1018727165691942
65	abbog	5.91206796869049
66	abbogen	
67	abbot	
68	abbrach	1.0224752668607087
69	abbrachen	
70	abbrachte	
71	abbrannte	0.142147875417301
72	abbrass	
73	abbrechen	3.990495146306472
74	abbremsen	5.664690649471117
75	abbremste	
76	abbremsten	
77	abbrennen	0.14599058684304622
78	abbrennt	
79	abbricht	0.5533073228650844
80	abbringen	7.293936337895392
81	abbringt	
82	abbruch	0.20674887778832884
83	abbruchhaus	
84	abbruchkante	
85	abbruchreife	
86	abbruchreifen	
87	abbröckeln	0.2389494814082903
88	abbröckelnden	
89	abbuchen	0.2389494814082903
90	abbusseln	0.0710739377086505
91	abby	
92	abbys	
93	abbé	
94	abbés	
95	abbüßen	3.8703205399662917
96	abc	1.732742002429632
97	abchecken	0.505051747697663
98	abd	
99	abdanken	
100	abdecken	1.2737407787282793
101	abdecker	0.4778989628165806
102	abdeckplatte	
103	abdeckt	
104	abdeckte	0.1973101466982039
105	abdeckten	
106	abdeckung	9.21712042254153
107	abdeckungen	
108	abdrehen	
109	abdrehte	1.5182940036334556
110	abdrehten	
111	abdriftete	
112	abdruck	4.343488511140583
113	abdrängen	
114	abdrücke	23.93350220496982
115	abdrücken	30.39546025389776
116	abdrückte	11.651673182530676
117	abdrückten	
118	abducken	
119	abdul	
120	abe	
121	abeba	48.407356425465444
122	abebben	
123	abebbte	7.937677186579547
124	abebbten	
125	abedsaid	
126	abel	10.361757438811406
127	abend	400.7986803865592
128	abendandacht	0.0002003801803588806
129	abendanzug	0.25372030295384085
130	abendausgaben	
131	abendbrot	5.240099864415399
132	abendbrottisch	11.610114327170587
133	abenddämmerung	6.9521861530119615
134	abende	10.29408682872291
135	abenden	1.0661090656297576
136	abendessen	2.9358864929200976
137	abendessens	2.719901180870477
138	abendgarderobe	
139	abendgebet	
140	abendgesellschaft	0.14599058684304622
141	abendhimmel	0.48111987335590634
142	abendhimmels	13.556873199153312
143	abendkasse	
144	abendkleid	0.06885916314593254
145	abendkleider	
146	abendkleidern	0.7620195017921403
147	abendkleides	
148	abendkonzert	7.014470480271624
149	abendkühle	
150	abendlich	1.1621561877162145
151	abendliche	0.05682160998424912
152	abendlichen	1.7410148665808265
153	abendlicher	7.937677186579547
154	abendliches	0.14599058684304622
155	abendlicht	
156	abendlied	3.8703205399662917
157	abendluft	27.033458187427783
158	abendläuten	0.2780172284115052
159	abendmahl	
160	abendmahlzeit	0.9844667776663809
161	abendmaschine	0.008404786516348739
162	abendmesse	0.4005653705934027
163	abendnachrichten	0.21322181312595423
164	abendprogramm	0.2389494814082903
165	abendrobe	
166	abendroben	
167	abendrot	0.07585598108229319
168	abendruhe	7.014470480271624
169	abends	195.3862929131992
170	abendschule	0.14599058684304622
171	abendsonne	3.156842939500118
172	abendsonnenschein	
173	abendspaziergang	3.414163849291244
174	abendsprechstunde	0.0710739377086505
175	abendstern	
176	abendstille	1.732742002429632
177	abendstimmung	2.8425858539455264
178	abendstunde	0.5560344568230104
179	abendstunden	0.7107393770865142
180	abendtäschchen	
181	abendverkehr	
182	abendvorstellung	0.008404786516348739
183	abendwind	1.390086142057526
184	abendzeitung	5.1604273866217225
185	abendzug	1.732742002429632
186	abeni	
187	abenteuer	0.025298047243792254
188	abenteuerbücher	
189	abenteuergeschichten	0.2389494814082903
190	abenteuerin	0.2780172284115052
191	abenteuerlich	0.09934282374444425
192	abenteuerliche	0.1303831010422074
193	abenteuerlichen	0.3114846152620907
194	abenteuerlicher	1.9643457352725395
195	abenteuerliches	0.05730000301335747
196	abenteuerlichsten	0.4778989628165806
197	abenteuerlust	0.32575476934258196
