	words	loglike
0	aal	4.046781070402735
1	aale	
2	aalglatt	4.859459552759205
3	aalglatte	
4	aalglatten	0.06707705764375754
5	aalglatter	0.15881939782336463
6	aalte	
7	aaran	
8	aarl	
9	aarlon	
10	aaron	
11	aarons	
12	aartje	
13	aas	4.859459552759205
14	aasfresser	
15	aasgeier	0.8411959036341807
16	aasgeiern	
17	ab	4.265369899810537
18	aba	0.2785351404201716
19	abandur	
20	abandurs	
21	abania	
22	abarbeiten	0.0036132448519725358
23	abaringo	
24	abarro	
25	abart	
26	abarten	
27	abartig	3.7813256385612255
28	abartige	
29	abartigen	
30	abband	
31	abbau	0.06816777341572999
32	abbauen	0.017509182197239737
33	abbaute	
34	abbe	
35	abbeißen	1.1356426989574913
36	abbekam	0.6941142479302211
37	abbekamen	0.22712853979149827
38	abbekommen	23.810508939545095
39	abbekommt	
40	abbensen	
41	abberief	2.536852007999588
42	abberufen	3.883631718082893
43	abbestellen	
44	abbestellt	
45	abbey	
46	abbezahlen	0.2593052956973434
47	abbezahlt	4.445654677386806
48	abbiegen	2.311650485897559
49	abbiegt	0.22712853979149827
50	abbiegung	
51	abbild	15.74474163033539
52	abbilder	
53	abbildeten	
54	abbildung	5.2578196196223965
55	abbildungen	1.0185330848905139
56	abbinden	0.45425707958299655
57	abbitte	3.414422462641788
58	abbitten	0.22712853979149827
59	abbittend	10.132842213822837
60	abblasen	1.4165385019409351
61	abblitzen	14.018652551045506
62	abblocken	0.5809259854036695
63	abblockte	0.2785351404201716
64	abblätterte	
65	abbog	1.3675380314866432
66	abbogen	
67	abbot	
68	abbrach	3.097249802818382
69	abbrachen	0.31398856507385164
70	abbrachte	0.0038701608486982203
71	abbrannte	0.1283658932225622
72	abbrass	
73	abbrechen	0.009419082879956076
74	abbremsen	8.63017507438598
75	abbremste	
76	abbremsten	
77	abbrennen	0.15881939782336463
78	abbrennt	1.6943102676377806
79	abbricht	
80	abbringen	4.786263907468545
81	abbringt	1.128654403443786
82	abbruch	1.4385715050333587
83	abbruchhaus	
84	abbruchkante	
85	abbruchreife	
86	abbruchreifen	
87	abbröckeln	
88	abbröckelnden	
89	abbuchen	
90	abbusseln	10.132842213822837
91	abby	
92	abbys	
93	abbé	
94	abbés	
95	abbüßen	1.128654403443786
96	abc	
97	abchecken	
98	abd	
99	abdanken	
100	abdecken	0.0013221841614659557
101	abdecker	8.935266850167771
102	abdeckplatte	
103	abdeckt	
104	abdeckte	0.045441779806423166
105	abdeckten	
106	abdeckung	
107	abdeckungen	
108	abdrehen	1.795244903908109
109	abdrehte	
110	abdrehten	
111	abdriftete	
112	abdruck	8.577294592141882
113	abdrängen	
114	abdrücke	24.547839677468755
115	abdrücken	25.608842488506557
116	abdrückte	5.385734711724327
117	abdrückten	0.22712853979149827
118	abducken	
119	abdul	
120	abe	
121	abeba	
122	abebben	0.0641829466112811
123	abebbte	
124	abebbten	
125	abedsaid	
126	abel	10.67218269032373
127	abend	1354.7228903897185
128	abendandacht	23.968057163527003
129	abendanzug	
130	abendausgaben	
131	abendbrot	47.339732886210804
132	abendbrottisch	20.294816063996706
133	abenddämmerung	0.6036935187937917
134	abende	36.500355445182976
135	abenden	0.9627441991692027
136	abendessen	314.6398286830763
137	abendessens	3.192145467718392
138	abendgarderobe	1.3339080543248745
139	abendgebet	2.536852007999588
140	abendgesellschaft	
141	abendhimmel	13.383354895825388
142	abendhimmels	
143	abendkasse	
144	abendkleid	3.609435423820994
145	abendkleider	0.13415411528751509
146	abendkleidern	
147	abendkleides	2.536852007999588
148	abendkonzert	
149	abendkühle	0.22712853979149827
150	abendlich	0.0038701608486982203
151	abendliche	23.910145442295125
152	abendlichen	13.079847453914038
153	abendlicher	
154	abendliches	0.15881939782336463
155	abendlicht	8.471551338188902
156	abendlied	3.8052780119993814
157	abendluft	0.7176603583487213
158	abendläuten	17.04040407438327
159	abendmahl	
160	abendmahlzeit	
161	abendmaschine	0.7334476680391333
162	abendmesse	43.630899946924586
163	abendnachrichten	5.082930802913345
164	abendprogramm	0.22712853979149827
165	abendrobe	
166	abendroben	
167	abendrot	13.767690653710948
168	abendruhe	
169	abends	192.04554024861636
170	abendschule	1.692981605165679
171	abendsonne	139.04618262468472
172	abendsonnenschein	5.050530023374966
173	abendspaziergang	4.7409422285194776
174	abendsprechstunde	10.132842213822837
175	abendstern	0.0038701608486982203
176	abendstille	1.6943102676377806
177	abendstimmung	5.389267869962581
178	abendstunde	3.385963210331358
179	abendstunden	2.286518522708686
180	abendtäschchen	
181	abendverkehr	0.06707705764375754
182	abendvorstellung	2.904728198163319
183	abendwind	17.886139301423324
184	abendzeitung	
185	abendzug	1.6943102676377806
186	abeni	
187	abenteuer	14.757245165337167
188	abenteuerbücher	3.8052780119993814
189	abenteuergeschichten	0.22712853979149827
190	abenteuerin	0.15881939782336463
191	abenteuerlich	0.5473930459286738
192	abenteuerliche	7.29947465848527
193	abenteuerlichen	2.9218528682949563
194	abenteuerlicher	0.43115294307346996
195	abenteuerliches	1.1442812306660473
196	abenteuerlichsten	0.45425707958299655
197	abenteuerlust	2.4953017376376243
198	abenteuerlustig	
199	abenteuern	10.763343377099513
200	abenteuerromane	
201	abenteuers	1.570562418769153
202	abenteuerspielplatz	0.15881939782336463
203	abenteuerurlaub	
204	abenteurer	18.07225988358593
205	abenteurers	
206	aber	27.833908643625136
207	aberdeen	
208	aberglaube	0.03818389496447705
209	aberglauben	0.048430692797474584
210	abergläubisch	0.211226956857145
211	abergläubische	
212	abergläubischen	0.2785351404201716
213	abergläubischer	
214	aberkannt	0.0038701608486982203
215	aberle	
216	aberles	
217	abermals	317.76634498117704
218	abermilliarden	
219	abermillionen	
220	abernathy	
221	abernten	
222	aberr	
223	abertausend	1.4668953360782666
224	abertausende	0.9448626140266274
225	abertausenden	
226	aberwitzig	0.1283658932225622
227	aberwitzige	0.0038701608486982203
228	aberwitzigen	
229	aberwitziger	0.22712853979149827
230	abes	
231	abfackeln	
232	abfahrbereit	0.9448626140266274
233	abfahren	1.50159075566466
234	abfahrenden	0.42059795181709037
235	abfahrt	0.8790125338026193
236	abfahrten	3.3254798593683654
237	abfahrtslauf	10.132842213822837
238	abfall	19.046119632277534
239	abfallbehälter	0.0038701608486982203
240	abfalleimer	0.8623058861469399
241	abfallen	0.13632533941926606
242	abfallend	
243	abfallende	1.570562418769153
244	abfallenden	2.323703941614678
245	abfallhaufen	
246	abfallkonverter	
247	abfallkorb	
248	abfallprodukt	
249	abfallschacht	
250	abfalltonnen	
251	abfallvernichter	
252	abfand	0.2593052956973434
253	abfangen	
254	abfangkurs	
255	abfassung	0.7334476680391333
256	abfedern	
257	abfeiern	3.8052780119993814
258	abfertigen	0.9448626140266274
259	abfertigung	
260	abfertigungsgebäude	
261	abfertigungshalle	
262	abfeuern	6.519818955610714
263	abfeuerte	
264	abfeuerten	
265	abfiel	0.017848307202690927
266	abfielen	0.2180378181394198
267	abfinde	
268	abfinden	44.58244208771502
269	abfindet	0.0641829466112811
270	abfindung	0.9529163869401884
271	abfindungen	
272	abfing	1.3532464411496092
273	abflauen	
274	abflaute	
275	abfliegen	0.31763879564672926
276	abfließen	3.259909477805357
277	abflog	0.9440740022965812
278	abflogen	
279	abfloss	
280	abflug	21.34436538064746
281	abflughalle	
282	abfluss	4.046781070402735
283	abflussrohr	
284	abfluß	0.0641829466112811
285	abflüsse	
286	abfolge	
287	abfrage	
288	abfragen	
289	abfragte	
290	abfuhr	41.63452696953178
291	abfuhren	1.1356426989574913
292	abfährt	
293	abfälle	2.9218528682949563
294	abfällen	
295	abfällig	0.5470619336389735
296	abfällige	1.4165385019409351
297	abfälligem	0.01137369645782385
298	abfälligen	1.5769784579355726
299	abfälliger	0.22712853979149827
300	abfälliges	0.3743815713750953
301	abfällt	1.8277603182253914
302	abfärbt	
303	abführen	14.52681666303543
304	abführmittel	0.06707705764375754
305	abführte	
306	abführten	0.06707705764375754
307	abfüllanlage	5.050530023374966
308	abfüllen	1.128654403443786
309	abgab	26.733454491372704
310	abgabe	0.31398856507385164
311	abgaben	6.342983196708925
312	abgabetermin	1.4668953360782666
313	abgang	4.872077709939573
314	abgase	
315	abgasen	1.1442812306660473
316	abgearbeitet	10.868019294738739
317	abgearbeiteten	3.8052780119993814
318	abgebaut	3.030571244490133
319	abgebe	2.7706523348812455
320	abgeben	0.0007983224695151669
321	abgebildet	2.3868922112324995
322	abgebildete	0.2180378181394198
323	abgebildeten	0.8411959036341807
324	abgebissen	2.739093010010702
325	abgeblasen	1.8897252280532548
326	abgeblendeten	0.01137369645782385
327	abgeblieben	1.2474458350762099
328	abgeblitzt	9.99987802193692
329	abgeblockt	0.08539408838706142
330	abgeblättert	0.43115294307346996
331	abgeblätterte	
332	abgebogen	0.13897004480759323
333	abgebracht	
334	abgebrannt	1.3053447020368614
335	abgebrannte	0.2593052956973434
336	abgebrannten	
337	abgebremst	
338	abgebrochen	0.8502353946640238
339	abgebrochene	
340	abgebrochenen	9.173170297519158
341	abgebrochenes	
342	abgebrummt	
343	abgebröckelt	
344	abgebrüht	7.852812093845763
345	abgebrühte	1.1442812306660473
346	abgebrühten	
347	abgebrühter	
348	abgebrühtheit	
349	abgebucht	0.0038701608486982203
350	abgebunden	0.45425707958299655
351	abgebusselt	6.939568051265869
352	abgebusserlt	10.132842213822837
353	abgebürstet	22.172646647261704
354	abgebüßt	1.128654403443786
355	abgedampft	
356	abgedeckt	5.675556734368822
357	abgedeckte	0.06707705764375754
358	abgedeckten	0.7316083286986674
359	abgedichtet	1.6983608146726819
360	abgedreht	1.1141405616806863
361	abgedriftet	
362	abgedroschen	0.1283658932225622
363	abgedroschene	
364	abgedroschenen	
365	abgedruckt	1.2487699526985772
366	abgedrängt	0.045441779806423166
367	abgedrückt	5.385734711724327
368	abgedunkelt	0.06816777341572999
369	abgedunkelte	0.7334476680391333
370	abgedunkelten	0.9852917428510115
371	abgeebbt	0.06816777341572999
372	abgeerntet	0.2267349268246941
373	abgeernteten	1.1633861591736396
374	abgefackelt	0.04774696196509198
375	abgefahren	25.1980235051099
376	abgefallen	0.5308957874061697
377	abgefallenen	0.01137369645782385
378	abgefangen	8.765558604884868
379	abgefasst	0.09549392393018397
380	abgefaßt	0.45425707958299655
381	abgefedert	0.0641829466112811
382	abgefertigt	0.03818389496447705
383	abgefeuert	29.310106436383727
384	abgefeuerte	
385	abgefeuerten	
386	abgeflacht	0.42059795181709037
387	abgeflachte	
388	abgeflachten	
389	abgeflaut	1.3339080543248745
390	abgeflogen	3.5189495003084046
391	abgeflossen	0.0038701608486982203
392	abgefragt	
393	abgefressen	
394	abgefunden	6.1933358942837025
395	abgefälscht	
396	abgefärbt	0.5570702808403432
397	abgeführt	2.8330770038818702
398	abgefüllt	7.292033650950458
399	abgegangen	2.7255424774979797
400	abgegeben	0.8251121602368485
401	abgegebene	
402	abgegebenen	
403	abgeglichen	
404	abgeglitten	0.6813856193744949
405	abgegolten	0.15881939782336463
406	abgegrast	
407	abgegrenzt	
408	abgegrenzte	
409	abgegrenzten	0.42059795181709037
410	abgegrenzter	
411	abgegriffen	2.3846945569372027
412	abgegriffene	0.15881939782336463
413	abgegriffenen	0.007740321697396441
414	abgeguckt	0.01137369645782385
415	abgehackt	13.087059920398477
416	abgehackte	
417	abgehackten	3.259909477805357
418	abgehackter	
419	abgehacktes	
420	abgehakt	1.8196729704366907
421	abgehalfterten	0.22712853979149827
422	abgehalfterter	
423	abgehalten	2.2722253051066694
424	abgehandelt	2.8216360086094676
425	abgehauen	0.36211505742881656
426	abgeheftet	0.2785351404201716
427	abgeheilt	3.388620535275561
428	abgehen	1.1985268537178015
429	abgehenden	
430	abgehetzt	0.3209147330564006
431	abgehoben	2.7078895194030945
432	abgehobene	
433	abgehobenen	
434	abgeholfen	
435	abgeholt	1.016982752025239
436	abgeholzt	0.9085141591659931
437	abgeht	2.617134030227775
438	abgehängt	6.777990356926791
439	abgehärmt	0.22712853979149827
440	abgehärtet	1.4668953360782666
441	abgehört	17.77381264636892
442	abgehörten	
443	abgejagt	0.0012082495438824337
444	abgekanzelt	0.2567317864451244
445	abgekapselt	0.5570702808403432
446	abgekartete	6.260947953900503
447	abgekarteten	
448	abgekartetes	
449	abgekauft	4.3816144539756685
450	abgeklappert	5.809456396326638
451	abgeklebt	
452	abgeklemmt	
453	abgeklopft	0.0012082495438824337
454	abgeklungen	0.598477684217082
455	abgeklärt	0.0036247486316486333
456	abgeklärten	
457	abgeklärter	
458	abgeklärtheit	
459	abgeknallt	0.7077219094064375
460	abgeknickt	0.1283658932225622
461	abgeknickten	0.06707705764375754
462	abgeknöpft	0.6813856193744949
463	abgekommen	0.6595696628421654
464	abgekoppelt	
465	abgekoppelten	
466	abgekratzt	
467	abgekriegt	4.052948102894162
468	abgekämpft	1.1356426989574913
469	abgekühlt	0.5226847278314439
470	abgekürzt	2.0047410492979036
471	abgeladen	1.0006321989860316
472	abgelagert	
473	abgelassen	0.3209147330564006
474	abgelaufen	8.312080936296766
475	abgelaufene	
476	abgelauscht	
477	abgeleckt	0.06816777341572999
478	abgelegen	2.286518522708686
479	abgelegene	0.6869183105534886
480	abgelegenen	0.05754451823545592
481	abgelegener	1.6943102676377806
482	abgelegenes	0.2593052956973434
