	words	loglike
0	ab	0.0011817113656686605
1	abbekommen	0.008134985008787727
2	abbiegen	0.00019938029208809447
3	abbild	0.0045431642594607104
4	abbot	
5	abbrach	0.0025218943583648987
6	abbrechen	0.0012354737185852841
7	abbringen	0.008808150420954487
8	abbruch	0.00739682982750919
9	abdruck	0.005877646203459716
10	abdrücke	0.014991027665112731
11	abdrücken	0.014445481782631027
12	abend	0.03126595961687827
13	abendbrot	0.06562978322560979
14	abenddämmerung	0.00013238678192407883
15	abende	0.046493143222337524
16	abendessen	0.05415942446656255
17	abendkleid	0.004634871690299417
18	abendlichen	0.03433036391135796
19	abends	0.028066410372651382
20	abendsonne	0.2942950193018934
21	abenteuer	0.0003018152943114142
22	abenteuern	0.008367718322408877
23	abenteurer	0.004759006796124745
24	aber	0.0008119503111615016
25	abermals	0.016840954507138618
26	abfahren	0.004834016979986415
27	abfahrt	0.0036854053480796928
28	abfall	0.009273441848355492
29	abfangen	
30	abfiel	0.0019006462854259856
31	abfinden	0.029041315220235772
32	abflug	0.02088102815989747
33	abfuhr	0.055125707707119595
34	abfällig	0.005785935593017957
35	abgab	0.01126641723966146
36	abgaben	0.0039584691477344575
37	abgang	0.0022229424979956936
38	abgebaut	0.001573187194082135
39	abgeben	0.0015368545026574684
40	abgebildet	0.0004109129011264619
41	abgebrochen	0.00012364447490492312
42	abgedeckt	0.02176744683893749
43	abgefahren	0.037702781280550664
44	abgefallen	0.0001397080270120689
45	abgefangen	0.005332979119919725
46	abgefeuert	0.017851563616276805
47	abgefunden	0.012475067239518266
48	abgegeben	0.0007211952284024593
49	abgehackt	0.013513995327031044
50	abgehalten	0.008404950268443248
51	abgehauen	3.2569682222707234e-05
52	abgehoben	0.0019540141670115387
53	abgeholt	0.0022824024450200237
54	abgehört	0.0223055609816032
55	abgeklungen	0.00764820781422082
56	abgekommen	0.0036379919287916444
57	abgekühlt	0.005049556965766557
58	abgelaufen	0.00031781354538682263
59	abgelegenen	0.004818399808423437
60	abgelegt	0.002458920338887477
61	abgelehnt	0.012221093274205362
62	abgelenkt	0.003050195120016133
63	abgeliefert	0.0010043055204459264
64	abgelöst	0.00701523512778985
65	abgemacht	0.009471239060900305
66	abgeneigt	0.03840255490139152
67	abgenommen	0.00024156522187617976
68	abgereist	0.03693851561837709
69	abgeriegelt	
70	abgerissen	0.0018829629456561942
71	abgesagt	0.015535374468679211
72	abgeschaltet	0.017071446256802864
73	abgeschiedenheit	0.012251459812464727
74	abgeschirmt	0.01412804105623578
75	abgeschlagen	0.001056590747164514
76	abgeschlossen	3.34373694443012e-07
77	abgeschnitten	0.003598431963453011
78	abgeschossen	0.002998210594475019
79	abgeschüttelt	0.005862760850973193
80	abgesehen	0.0006722846228429174
81	abgesetzt	4.842667162871018e-05
82	abgesichert	0.0002049087896659708
83	abgesperrt	0.00882725519818697
84	abgespielt	0.0031518948535595188
85	abgesprochen	6.355645266325344e-05
86	abgestellt	4.635141308190942e-05
87	abgestellten	0.022666874651047837
88	abgestiegen	0.005462504530726654
89	abgestimmt	0.0018264146846271086
90	abgestoßen	0.0038363046944430174
91	abgestrahlt	
92	abgestürzt	0.02447895980026607
93	abgesucht	0.0009830927169519645
94	abgetan	0.008655857241867959
95	abgetrennt	0.01125263610851608
96	abgetrieben	0.0027473782306745922
97	abgewandt	0.0003990542164770466
98	abgewartet	0.0010717344853147515
99	abgewehrt	0.0010354584076068159
100	abgewiesen	0.01970113679230661
101	abgezogen	0.0004431486741843802
102	abgrund	0.0018861212428638741
103	abgrundtief	2.7217722138671296e-05
104	abhalten	0.0015874317524390731
105	abhanden	0.0006655519479843962
106	abhang	8.427164006076559e-05
107	abhauen	0.00954954758664747
108	abheben	3.259591376940374e-05
109	abhielt	0.008689857420889305
110	abhob	0.012592971171358781
111	abholen	0.014897540783242479
112	abholte	0.020932316015202367
113	abhängen	0.02393294888610166
114	abhängig	0.0006301511510266554
115	abhängigkeit	1.3446835065204925e-10
116	abitur	0.056769544184868695
117	abkommen	0.009452339736813677
118	abkürzung	0.008367678518997435
119	ablauf	2.472063030579388e-05
120	ablaufen	0.00454038940517772
121	ableben	0.0011798698406526274
122	ablegen	0.00419630443101528
123	ableger	
124	ablehnen	0.009880849974234836
125	ablehnend	0.01448098520659239
126	ablehnte	0.016885231303354058
127	ablehnung	0.022748353698460476
128	ablenken	0.0011031541923684513
129	ablenkung	0.008566968196477832
130	ablenkungsmanöver	0.01939460235888082
131	ablesen	0.00021370653085696573
132	ablief	1.1215772485947137e-05
133	abliefern	0.004258590599565973
134	abläuft	0.0007214389639409839
135	ablösen	0.0005648371851263469
136	abmachung	0.001203631817490938
137	abnahm	0.001263523146242682
138	abnehmen	0.0031289432197099485
139	abneigung	0.0008353935294647674
140	about	
141	above	
142	abraham	
143	abrechnung	0.009745396259578914
144	abreise	0.007915955740952253
145	abreisen	0.06287978687344194
146	abreißen	0.016661142601797983
147	abrupt	1.687848071022088e-05
148	absage	0.03542148752303929
149	absagen	0.009112524002143824
150	absah	0.007559942403355509
151	absatz	0.0002021071010308074
