	words	loglike
0	aal	0.8261234922102165
1	aale	
2	aalglatt	2.9947878914105104
3	aalglatte	0.0021464526991591404
4	aalglatten	
5	aalglatter	0.13757907166867966
6	aalte	
7	aaran	
8	aarl	
9	aarlon	
10	aaron	171.81586681560208
11	aarons	6.382429157412531
12	aartje	73.47348313978306
13	aas	4.44324685842771
14	aasfresser	3.3821354676229087
15	aasgeier	0.22842488782949655
16	aasgeiern	0.0490762575514756
17	ab	107.12208155327221
18	aba	
19	abandur	349.95157462511156
20	abandurs	13.9808422209866
21	abania	
22	abarbeiten	1.4782713094525128
23	abaringo	17.480158170499344
24	abarro	
25	abart	13.321595144680165
26	abarten	7.124526235942502
27	abartig	1.4633899597355375
28	abartige	
29	abartigen	0.004873276422818706
30	abband	0.14655229315556995
31	abbau	
32	abbauen	0.8261234922102165
33	abbaute	0.2931045863111399
34	abbe	136.4679644425554
35	abbeißen	2.8138037881813527
36	abbekam	1.0455032548198786
37	abbekamen	
38	abbekommen	1.9224788931818395
39	abbekommt	
40	abbensen	
41	abberief	0.14655229315556995
42	abberufen	
43	abbestellen	0.14655229315556995
44	abbestellt	0.27537449740340536
45	abbey	12.512329073878838
46	abbezahlen	0.27537449740340536
47	abbezahlt	0.2884117759612086
48	abbiegen	9.646739927738011
49	abbiegt	
50	abbiegung	0.5328689055240816
51	abbild	8.016549033867292
52	abbilder	1.7772987433710834
53	abbildeten	0.0490762575514756
54	abbildung	0.37188125279252393
55	abbildungen	0.4708536173291069
56	abbinden	
57	abbitte	0.7555618182622741
58	abbitten	0.14655229315556995
59	abbittend	
60	abblasen	2.0421876853834187
61	abblitzen	20.745411589441964
62	abblocken	0.8157598927132927
63	abblockte	0.4345165092434051
64	abblätterte	0.8016549033867331
65	abbog	13.40151695321186
66	abbogen	0.4326176639418138
67	abbot	20.979555747337884
68	abbrach	0.017453836049990068
69	abbrachen	0.0981525151029512
70	abbrachte	3.3269916566324333
71	abbrannte	0.9547668002314613
72	abbrass	
73	abbrechen	6.175475035419474
74	abbremsen	0.06810373130284209
75	abbremste	0.1963050302059024
76	abbremsten	
77	abbrennen	1.332974057528312
78	abbrennt	0.023032969218545973
79	abbricht	0.8157598927132927
80	abbringen	20.83731131461149
81	abbringt	
82	abbruch	5.386221365816812
83	abbruchhaus	
84	abbruchkante	
85	abbruchreife	0.14655229315556995
86	abbruchreifen	
87	abbröckeln	
88	abbröckelnden	
89	abbuchen	2.217994437754955
90	abbusseln	
91	abby	1019.434332088891
92	abbys	66.47415892844207
93	abbé	1658.8595203556838
94	abbés	45.476344763657806
95	abbüßen	
96	abc	0.023032969218545973
97	abchecken	0.03718710248799345
98	abd	199.4629248306207
99	abdanken	0.13757907166867966
100	abdecken	1.8430021381873147
101	abdecker	
102	abdeckplatte	
103	abdeckt	
104	abdeckte	3.124190353564961
105	abdeckten	0.14655229315556995
106	abdeckung	2.4378701943265133
107	abdeckungen	
108	abdrehen	0.27515814333735933
109	abdrehte	11.044303076578913
110	abdrehten	0.14655229315556995
111	abdriftete	0.14655229315556995
112	abdruck	19.38096879772728
113	abdrängen	1.4973939457052552
114	abdrücke	7.173680639191346
115	abdrücken	12.049631896960538
116	abdrückte	9.8120814367802
117	abdrückten	2.217994437754955
118	abducken	0.023032969218545973
119	abdul	
120	abe	835.3228478483608
121	abeba	
122	abebben	
123	abebbte	
124	abebbten	0.14655229315556995
125	abedsaid	
126	abel	0.23032969218546917
127	abend	1206.1675572548465
128	abendandacht	1.03072354146759
129	abendanzug	
130	abendausgaben	
131	abendbrot	5.478471252811547
132	abendbrottisch	6.4364074748455025
133	abenddämmerung	3.390045383390609
134	abende	9.04846009340877
135	abenden	0.34549453827819
136	abendessen	458.4339806507955
137	abendessens	12.747035916275696
138	abendgarderobe	4.266324907779559
139	abendgebet	
140	abendgesellschaft	
141	abendhimmel	4.933175283461196
142	abendhimmels	
143	abendkasse	
144	abendkleid	12.46918149125107
145	abendkleider	
146	abendkleidern	
147	abendkleides	
148	abendkonzert	0.14655229315556995
149	abendkühle	
150	abendlich	0.0021464526991591404
151	abendliche	0.6644047167881482
152	abendlichen	5.820667445630306
153	abendlicher	0.0021464526991591404
154	abendliches	0.13757907166867966
155	abendlicht	1.8430021381873147
156	abendlied	
157	abendluft	0.19197195831694014
158	abendläuten	
159	abendmahl	
160	abendmahlzeit	0.004873276422818706
161	abendmaschine	
162	abendmesse	
163	abendnachrichten	
164	abendprogramm	0.14655229315556995
165	abendrobe	0.1442058879806043
166	abendroben	
167	abendrot	1.1014979896136214
168	abendruhe	
169	abends	363.05464065848105
170	abendschule	0.13757907166867966
171	abendsonne	21.453603032989747
172	abendsonnenschein	
173	abendspaziergang	9.370159225760087
174	abendsprechstunde	
175	abendstern	
176	abendstille	
177	abendstimmung	
178	abendstunde	0.5507489948068107
179	abendstunden	0.067707241613008
180	abendtäschchen	
181	abendverkehr	1.823393521812842
182	abendvorstellung	0.0490762575514756
183	abendwind	2.6574629601450175
184	abendzeitung	
185	abendzug	
186	abeni	
187	abenteuer	2.290416627119445
188	abenteuerbücher	0.0021464526991591404
189	abenteuergeschichten	0.14655229315556995
190	abenteuerin	0.27537449740340536
191	abenteuerlich	2.111068234430217
192	abenteuerliche	1.2351652441689218
193	abenteuerlichen	3.7463571061029457
194	abenteuerlicher	0.7036894114767462
195	abenteuerliches	1.4973939457052552
196	abenteuerlichsten	
197	abenteuerlust	
198	abenteuerlustig	
199	abenteuern	6.3432266546090705
200	abenteuerromane	
201	abenteuers	0.00084438611460734
202	abenteuerspielplatz	
203	abenteuerurlaub	0.6629189931456025
204	abenteurer	32.54221623263586
205	abenteurers	0.5328689055240816
206	aber	173.12078759076303
207	aberdeen	0.276395630622563
208	aberglaube	4.967199945998326
209	aberglauben	0.2756306020048658
210	abergläubisch	2.926779919471075
211	abergläubische	1.7772987433710834
212	abergläubischen	5.5449860943873865
213	abergläubischer	0.8886493716855417
214	aberkannt	0.0021464526991591404
215	aberle	
216	aberles	
217	abermals	47.67659520677276
218	abermilliarden	
219	abermillionen	1.7772987433710834
220	abernathy	
221	abernten	0.0021464526991591404
222	aberr	
223	abertausend	1.2585490598226374
224	abertausende	1.2585490598226374
225	abertausenden	6.382429157412531
226	aberwitzig	0.04606593843709195
227	aberwitzige	
228	aberwitzigen	1.332974057528312
229	aberwitziger	2.217994437754955
230	abes	2.4658681120395616
231	abfackeln	5.583806544168041
232	abfahrbereit	1.2585490598226374
233	abfahren	3.14384214302007
234	abfahrenden	0.6160055898835217
235	abfahrt	3.644353379628267
236	abfahrten	1.2585490598226374
237	abfahrtslauf	
238	abfall	12.715788062262561
239	abfallbehälter	
240	abfalleimer	8.378618499382558
241	abfallen	0.5881720254249565
242	abfallend	0.023032969218545973
243	abfallende	0.41172174805630735
244	abfallenden	0.8652353278836276
245	abfallhaufen	0.43965687946671084
246	abfallkonverter	
247	abfallkorb	0.04606593843709195
248	abfallprodukt	0.5328689055240816
249	abfallschacht	
250	abfalltonnen	0.1442058879806043
251	abfallvernichter	
252	abfand	0.27537449740340536
253	abfangen	10.837885954484946
254	abfangkurs	
255	abfassung	0.0490762575514756
256	abfedern	0.9547668002314613
257	abfeiern	0.0021464526991591404
258	abfertigen	
259	abfertigung	1.2585490598226374
260	abfertigungsgebäude	0.13757907166867966
261	abfertigungshalle	0.5328689055240816
262	abfeuern	1.8395244032029279
263	abfeuerte	0.00084438611460734
264	abfeuerten	
265	abfiel	0.13893310029883965
266	abfielen	0.41254203996626826
267	abfinde	0.14655229315556995
268	abfinden	29.304466188209815
269	abfindet	0.023032969218545973
270	abfindung	13.777086982408758
271	abfindungen	
272	abfing	0.020513282631278884
273	abflauen	0.0021464526991591404
274	abflaute	0.0021464526991591404
275	abfliegen	
276	abfließen	0.4326176639418138
277	abflog	0.004873276422818706
278	abflogen	0.0490762575514756
279	abfloss	
280	abflug	9.280155089999983
281	abflughalle	
282	abfluss	0.12889315732865914
283	abflussrohr	
284	abfluß	1.4148789666363408
285	abflüsse	
286	abfolge	3.491570850864017
287	abfrage	
288	abfragen	1.03072354146759
289	abfragte	
290	abfuhr	15.099418905417444
291	abfuhren	3.564178553401841
292	abfährt	
293	abfälle	0.11820869632196818
294	abfällen	3.6730188005244386
295	abfällig	10.685926762878704
296	abfällige	4.005055344589486
297	abfälligem	0.5328689055240816
298	abfälligen	0.2453812877573911
299	abfälliger	0.14655229315556995
300	abfälliges	2.06144708293518
301	abfällt	
302	abfärbt	0.14655229315556995
303	abführen	4.312039129184651
304	abführmittel	0.1442058879806043
305	abführte	
306	abführten	
307	abfüllanlage	
308	abfüllen	0.0021464526991591404
309	abgab	147.56360100265977
310	abgabe	
311	abgaben	46.420117640445476
312	abgabetermin	1.2585490598226374
313	abgang	4.730159249430418
