	words	loglike
0	ab	0.003593464232540606
1	abbekommen	0.0057267528235019315
2	abbiegen	0.02087954011960056
3	abbild	0.02809792746217156
4	abbot	0.03168609331499538
5	abbrach	0.004569007164491119
6	abbrechen	0.0011133550347494272
7	abbringen	0.020918169642973335
8	abbruch	0.0020967194521851733
9	abdruck	0.02935966204375246
10	abdrücke	0.022167901665019717
11	abdrücken	0.027276059571679667
12	abend	0.012075256567490446
13	abendbrot	0.004753050539134293
14	abenddämmerung	0.0002059855076234009
15	abende	0.009143421566193355
16	abendessen	0.044188188837705575
17	abendkleid	0.012467282546474372
18	abendlichen	0.003108380340217567
19	abends	0.026875892100137178
20	abendsonne	0.023936456230711365
21	abenteuer	0.000206945988065138
22	abenteuern	0.0009321482451545311
23	abenteurer	0.019156593798068715
24	aber	0.001623654837703067
25	abermals	0.020231979415458935
26	abfahren	0.007855392940663796
27	abfahrt	0.001240214296325013
28	abfall	0.02658024562005444
29	abfangen	0.04654649517719832
30	abfiel	0.002576499057582341
31	abfinden	0.011658501062795552
32	abflug	0.003850490543527693
33	abfuhr	0.008465652684448828
34	abfällig	0.0013966980391452947
35	abgab	0.13449815963942735
36	abgaben	0.09576791133806098
37	abgang	0.0014834040435651522
38	abgebaut	0.004714989775806656
39	abgeben	0.0032068872035242897
40	abgebildet	0.012030786544943411
41	abgebrochen	0.003389667579193756
42	abgedeckt	0.0043706149263614685
43	abgefahren	0.000427829199341246
44	abgefallen	0.022808628065433274
45	abgefangen	0.000734421614760881
46	abgefeuert	0.004173824363869844
47	abgefunden	0.011401039537437374
48	abgegeben	0.016421362102451098
49	abgehackt	0.05732918437837232
50	abgehalten	0.006552044837065833
51	abgehauen	0.0011650102748513996
52	abgehoben	0.02510472823628928
53	abgeholt	0.0029450906311044665
54	abgehört	6.64829833952967e-05
55	abgeklungen	0.000747334148903993
56	abgekommen	1.6764313412308534e-05
57	abgekühlt	0.001175814453084156
58	abgelaufen	0.030509583079351303
59	abgelegenen	0.006519444667532232
60	abgelegt	0.00018917989504289986
61	abgelehnt	0.0057722368528758845
62	abgelenkt	0.016893718017692343
63	abgeliefert	0.005681591600135689
64	abgelöst	0.013084153728991469
65	abgemacht	0.003522967416271807
66	abgeneigt	0.012230285067608638
67	abgenommen	0.000977480895789952
68	abgereist	0.029095565403590293
69	abgeriegelt	0.009652008144749728
70	abgerissen	0.006340663649955686
71	abgesagt	0.031219907476704396
72	abgeschaltet	0.0048578186245804445
73	abgeschiedenheit	0.0011198700519376966
74	abgeschirmt	0.0002622611832219582
75	abgeschlagen	0.06760159639594056
76	abgeschlossen	0.0033151197094861626
77	abgeschnitten	0.00023485182475694363
78	abgeschossen	0.003462074616067033
79	abgeschüttelt	0.003513878326047328
80	abgesehen	0.00019098169545141586
81	abgesetzt	1.4636628538013249e-05
82	abgesichert	0.0001358454091506733
83	abgesperrt	0.01793230976527692
84	abgespielt	0.0007312867602583713
85	abgesprochen	0.04639276076634391
86	abgestellt	0.011554295805662407
87	abgestellten	0.06279826345067663
88	abgestiegen	0.002040808868869079
89	abgestimmt	0.008048771213737737
90	abgestoßen	0.0409064020055562
91	abgestrahlt	0.00018399440597762287
92	abgestürzt	0.00434357720121897
93	abgesucht	0.0057873733774954535
94	abgetan	0.0011736491222283964
95	abgetrennt	0.014519813237231657
96	abgetrieben	0.007929456807353918
97	abgewandt	0.00305346513710544
98	abgewartet	0.011509907528804986
99	abgewehrt	0.012520023745714485
100	abgewiesen	0.008018052538009043
101	abgezogen	0.002756399143340433
102	abgrund	0.006821694307857281
103	abgrundtief	0.0009735718553459021
104	abhalten	0.008470027561228385
105	abhanden	0.0011017226329870077
106	abhang	0.005963971048875617
107	abhauen	0.0012286249032508719
108	abheben	0.03797793205249691
109	abhielt	0.03914367854541126
110	abhob	0.08442317768286431
111	abholen	0.008371772667665856
112	abholte	0.004299089713916297
113	abhängen	0.0004505147374968283
114	abhängig	0.007883449828887643
115	abhängigkeit	0.0019470561428222375
116	abitur	0.035719669708250634
117	abkommen	0.008179095464567476
118	abkürzung	0.0018629378049285009
119	ablauf	0.00909777125679205
120	ablaufen	0.031075954585505806
121	ableben	0.06049296475435735
122	ablegen	0.002193515398087424
123	ableger	0.0008065283409288129
124	ablehnen	0.004491619990676068
125	ablehnend	0.01204899420826646
126	ablehnte	0.015185937360328805
127	ablehnung	0.018501543924257
128	ablenken	0.00460171301391489
129	ablenkung	0.006037105031876759
130	ablenkungsmanöver	0.0018739167852377045
131	ablesen	0.003855113882034092
132	ablief	0.09661898162542489
133	abliefern	0.001973140261600925
134	abläuft	0.030406164886668786
135	ablösen	0.0029123012558097752
136	abmachung	0.00045921080311873454
137	abnahm	0.0003751581350927352
138	abnehmen	0.00011326639746614972
139	abneigung	0.007363465289845963
140	about	
141	above	
142	abraham	
143	abrechnung	0.02768403034604005
144	abreise	0.022315905409626576
145	abreisen	0.021372340050869718
146	abreißen	0.008438587129978619
147	abrupt	7.001651924487602e-10
148	absage	0.031279717853636965
149	absagen	0.0414960653903578
150	absah	0.0333852648495218
151	absatz	2.234768618128197e-05
152	abschalten	0.02232710409511336
153	abscheu	0.0003624938382450066
154	abschied	0.0009877744394524053
155	abschießen	0.003455162957873091
156	abschirmung	0.0005787432592847964
157	abschlagen	0.0022136601546225
158	abschließen	1.1685396892399365e-05
159	abschließend	0.02647314416969452
160	abschloss	0.020091307147835323
161	abschluss	0.0032433957001465705
162	abschneiden	0.0025385702825198603
163	abschnitt	0.005650198206141257
164	abschrecken	0.00022177058436652266
165	abschätzen	3.661771445956732e-05
166	abschätzend	0.00018145462682289714
167	abschütteln	0.0027393862977296048
168	absehbarer	0.030943894799290182
169	abseits	0.0031800098464303678
170	absender	0.019573740064769817
171	absetzen	0.018753053542552557
172	absetzte	0.0012157805420669795
173	absicht	0.012543254218343392
174	absichten	0.012687309738636524
175	absichtlich	0.009933333902144424
176	absolut	0.002516287816086196
177	absolute	0.009633318149300501
178	absoluten	0.025861224886033256
179	absoluter	0.0029377892713160214
180	absolviert	0.046207550054510695
181	absperrung	0.0024405006038785357
182	abspielen	0.023990234140504052
183	abspielte	0.040695585621453506
184	abstammung	0.0023088896174898524
185	abstand	0.0033336136207576424
186	abstatten	0.012581949093392428
187	abstecher	0.01321075725593901
188	abstellen	0.021891527862840467
189	abstellte	0.007591687679136854
190	abstieg	0.011054054230469873
191	abstimmung	0.04154508808385164
192	abstoßend	0.02102837326947956
193	abstrahlen	0.004444990924006933
194	abstreiten	0.008175916721958335
195	absturz	0.00014933889452668552
196	abständen	0.0038456641352751612
197	abstürzen	0.004577893759675395
198	abstützen	0.18969475897998134
199	absuchen	0.0014399951969548946
200	absurd	0.00015721525192228516
201	absätze	0.008128983987234262
202	absätzen	0.001179647328986044
203	abt	0.1120539796639963
204	abteil	0.15078713779914119
205	abteilung	0.0023149643559409825
206	abteilungen	0.0016621839064945004
207	abtransport	0.0011334198417805984
208	abtransportiert	0.04678952714981144
209	abwandte	0.0041826398466095725
210	abwarten	0.01392217635965784
211	abwartend	0.0013824733433933437
212	abwechselnd	0.0020792645262034757
213	abwechslung	0.01203733317822665
214	abwegig	1.540871179825994e-07
215	abwehr	0.0006959568590204591
216	abwehren	0.034610112555226454
217	abwehrend	0.007477876488610619
218	abwehrende	0.0004209005548873497
219	abweichung	0.0008224246316152258
220	abweichungen	0.003793195152572355
221	abweisen	0.0009973602623053312
222	abweisend	0.0061412542561077935
223	abwenden	0.004320523865540535
224	abwesend	0.005415524732919962
225	abwesenheit	0.005566749410855639
226	abwärts	0.00018317183711197976
227	abzeichnete	0.1302224525997836
228	abzeichneten	0.05506986695238783
229	abziehen	0.00029382007862137436
230	abzubrechen	0.008890312047153511
231	abzubringen	0.004210295403219343
232	abzufangen	9.638393787007784e-05
233	abzufinden	0.00015506186995800598
234	abzug	0.000623826365844472
235	abzug.	0.04024860896687076
236	abzugeben	0.02582163287829229
237	abzuhalten	0.007475993406503668
238	abzuholen	0.007899075393866264
239	abzulegen	0.001431450165605412
240	abzulenken	0.004950723221330479
241	abzulesen	0.043160394586168035
242	abzunehmen	0.0019284219933361612
243	abzuschalten	0.008020607607758063
244	abzuschließen	0.01135726108657725
245	abzuschneiden	0.0015009555861702547
246	abzuschätzen	0.00024187719465640443
247	abzuschütteln	0.0005778193857427019
248	abzusehen	0.004624522848121863
249	abzusetzen	0.018261514082410037
250	abzustatten	3.9368837768146434e-05
251	abzusuchen	0.018036081724301864
252	abzuwarten	4.552554039440699e-05
253	abzuwehren	0.028619810991692966
254	abzuwenden	0.0005979318055810987
255	abzweigung	0.0023653932253585707
256	ach	0.000740707628029985
257	achse	0.039735658257239265
258	achseln	0.00287763125166254
259	achselzuckend	0.0021208498839791357
260	acht	5.34996885064832e-05
261	achte	0.001885773997524036
262	achten	0.00020662561861886338
263	achterdeck	0.000247431558722339
264	achterkastell	0.0027944717407556077
265	achtern	
266	achtet	0.0013315395926684
267	achtete	0.009161517894383981
268	achteten	0.007283077506729005
269	achtgeben	0.20827440513704587
270	achthundert	0.0003782586373547916
271	achtlos	0.0006352060162881697
272	achtundvierzig	0.03014167276698529
273	achtundzwanzig	0.012099567328808805
274	achtung	0.0004878972840380866
275	achtzehn	0.01185559132351175
276	achtzig	0.008330794511880396
277	acker	0.02191307520665651
278	across	
279	adel	0.03894104394379995
280	ader	0.020506646654030347
281	adern	0.04033178006795562
282	adjutant	
283	adjutanten	
284	adler	1.3282161590147173e-06
285	administrator	
286	admiral	
287	admiralin	
288	adoptieren	0.01907765564771855
289	adoptiert	0.04989923683572834
290	adoption	0.024262217224279944
291	adrenalin	0.0002663449798205103
292	adresse	0.006680588979867209
293	adressen	0.031414106352453466
294	affe	0.00852273970105499
295	affen	0.0034360503945404536
296	affäre	0.05153001983515708
297	affären	0.02520549400380588
298	after	0.1941158385545892
299	ag	
300	again	
301	against	
302	agent	0.09726869894110456
303	agenten	0.0026608371808632143
304	agentin	0.04262616486424954
305	agents	
306	agentur	0.007087221820399583
307	aggregat	
308	aggregate	0.01985184740942576
309	aggregaten	
310	aggression	
311	aggressionen	0.0002828549912111773
312	aggressiv	0.0035339514274221
313	aggressiven	3.8791005686272676e-05
314	aggressivität	0.0063724056803498574
315	agieren	0.07092609916122496
316	ago	
317	agreed	
318	ah	4.154899245882083e-05
319	aha	0.03677306843408546
320	ahne	0.00030666078973757855
321	ahnen	0.0001502421330569874
322	ahnst	0.0032070260999961346
323	ahnt	0.004984201887187619
324	ahnte	2.7831442954270565e-05
325	ahnten	0.001591487494327271
326	ahnung	0.0011566474289352
327	ahnungen	0.00037113697721892665
328	ahnungslos	0.001562394172434747
329	air	0.011013371640503613
330	airport	0.0005573485421249986
331	akademie	0.031822102017516826
332	akonischen	
333	akt	0.00038236256108455276
334	akte	0.016820882443738614
335	akten	0.004258627877013255
336	aktentasche	0.020571553953616938
337	aktion	0.005004782193342588
338	aktionen	7.215441530928528e-05
339	aktiv	0.0005458459038698857
340	aktivatorträger	
341	aktiven	0.011675305434981856
342	aktivieren	0.03848178180465224
343	aktiviert	0.007627111984167469
344	aktivierte	0.0003569250613441365
345	aktivierten	0.01418493095337564
346	aktivierung	0.04241453750771988
347	aktivität	0.000453280577239693
348	aktivitäten	0.007111823271672743
349	aktuell	0.008306651645714567
350	aktuelle	0.00045216355806091627
351	aktuellen	0.017990675547932267
352	akustisch	0.02594911687259866
353	akustische	0.1052719191895651
354	akustischen	0.0017537667363166582
355	akzent	0.015253808058338394
356	akzeptiere	0.0173280113133278
357	akzeptieren	0.013646726722663094
358	akzeptiert	0.0047537561953594695
359	akzeptierte	0.01647277345523864
360	alarm	9.154101475341431e-05
361	alarmanlage	0.005752328635640035
362	alarmbereitschaft	0.0018698149248147257
363	alarmieren	0.009341533884119128
364	alarmiert	0.0010833396623693425
365	alarmierte	0.006171067308140994
366	alarmsirenen	0.009549404228139227
367	alastar	
368	alban	
369	albern	0.01730258689882672
370	albernen	0.010629498121398868
371	albino	
372	albtraum	0.03001108771480067
373	albträume	0.014276006668430569
374	albträumen	0.03137281490451424
375	aldo	
376	alias	0.004625444522008991
377	alibi	0.038412675056698535
378	alkohol	0.000610946795511368
379	alkorder	
380	all	1.6630353873022582e-05
381	all.	0.0007243358718721157
382	alldem	0.00020329446018253067
383	alle	0.0006374545317459537
384	alledem	0.0032809567086270336
385	allee	0.0015293743716601593
386	allein	0.0038288104769865945
387	alleine	0.025052909549715348
388	alleingang	0.0010118626252890763
389	alleinsein	0.0018533476537834388
390	allem	0.0038604928158795324
391	allemal	0.0131282851441885
392	allen	7.716316413609739e-05
393	allenfalls	0.012207876793063632
394	aller	0.001571134572321383
395	allerdings	0.0062058934972489335
396	allergisch	3.2117846151243816e-05
397	allerhand	0.011219538510649791
398	allerlei	0.003428880127579739
399	allerletzten	0.019020675684260278
400	allerwenigsten	0.0004697831885913696
401	alles	0.0021184300264343783
402	allesamt	0.010629024950904932
403	allgegenwärtig	0.030595677915585054
404	allgemein	0.00014215835440298556
405	allgemeine	0.00426970420136354
406	allgemeinen	0.0019804702029480262
407	allianz	0.18478346638517476
408	allmächtiger	0.0019975978957333723
409	allmählich	0.021181758731364887
410	alls	0.017573412716870875
411	alltag	0.010215265145515805
412	allzu	0.00649607789171729
413	alm	0.10651961811218702
414	almhütte	
415	almost	
416	along	
417	alptraum	0.024967242815653753
418	already	
419	als	0.0011479796615110026
420	alsbald	0.01971730792779522
421	also	0.0030781148937926543
422	alt	0.00037614180448613567
423	alt.	0.0005311710963453046
424	altar	0.045611672284411146
425	alte	0.0008141276367122667
426	altem	0.023127121646160168
427	alten	0.00893300910527113
428	altenhagen	
429	alter	0.0013706600293994804
430	alternative	0.023115177068425412
431	alternativen	0.008081906837458748
432	alters	0.00116026723854421
433	altes	0.016567391041210945
434	altmodisch	0.01379244092283144
435	altmodische	0.0024148438664594127
436	altmodischen	0.0003186481720432177
437	altstadt	0.0066748497686063765
438	always	
439	am	0.00030339105793517323
440	amaterasu	0.579244772668392
441	ambulanz	0.0031489933402012744
442	ameisen	0.0007894415105543029
