	words	loglike
0	aal	17.04831304233097
1	aale	
2	aalglatt	35.74987515400214
3	aalglatte	2.7726353284383465
4	aalglatten	7.02714448326709
5	aalglatter	5.682771014110323
6	aalte	3.924361725997784
7	aaran	16.285788333322348
8	aarl	
9	aarlon	
10	aaron	49.80675641576697
11	aarons	0.06996553957010981
12	aartje	
13	aas	3.136385876843594
14	aasfresser	4.279336916350566
15	aasgeier	1.8433684533147883
16	aasgeiern	0.13478753768486995
17	ab	4.111101179807065
18	aba	0.682525823095651
19	abandur	
20	abandurs	
21	abania	
22	abarbeiten	6.032301799259816
23	abaringo	
24	abarro	13.02535717111392
25	abart	
26	abarten	0.03375838825960226
27	abartig	0.3090206363636563
28	abartige	0.13478753768486995
29	abartigen	6.586676644761551
30	abband	
31	abbau	0.44120854447194136
32	abbauen	0.41763893328928603
33	abbaute	0.28401651268694983
34	abbe	
35	abbeißen	1.365051646191302
36	abbekam	2.1954701137905133
37	abbekamen	1.848423552292231
38	abbekommen	37.59171233192649
39	abbekommt	5.719874140072543
40	abbensen	
41	abberief	
42	abberufen	0.7454423420419496
43	abbestellen	0.06996553957010981
44	abbestellt	
45	abbey	37.017966428118655
46	abbezahlen	
47	abbezahlt	0.007150400166703652
48	abbiegen	9.932991050948445
49	abbiegt	
50	abbiegung	4.790565428669641
51	abbild	31.954946341356376
52	abbilder	1.1719678957114423
53	abbildeten	0.13478753768486995
54	abbildung	2.76641540724434
55	abbildungen	1.5382599974166782
56	abbinden	
57	abbitte	11.149881085255698
58	abbitten	
59	abbittend	
60	abblasen	13.004360894344979
61	abblitzen	0.7945525967229923
62	abblocken	0.20989661871033172
63	abblockte	0.001091120412075361
64	abblätterte	1.568192938421797
65	abbog	31.46163463680039
66	abbogen	34.31924484043526
67	abbot	
68	abbrach	5.015457719473579
69	abbrachen	0.029550792041977747
70	abbrachte	
71	abbrannte	0.6168078503291798
72	abbrass	
73	abbrechen	0.3156221792568532
74	abbremsen	0.44860333234645866
75	abbremste	7.862444513673703
76	abbremsten	
77	abbrennen	0.46928446668270296
78	abbrennt	0.0005455602060376805
79	abbricht	5.545270656876693
80	abbringen	23.86137647353734
81	abbringt	0.03375838825960226
82	abbruch	0.5537588905141444
83	abbruchhaus	11.333575589264466
