	words	loglike
0	ab	0.00021083401938704668
1	abbekommen	0.01483645392621099
2	abbiegen	0.008396677182026253
3	abbild	0.024133054304724885
4	abbot	
5	abbrach	0.00859750000038036
6	abbrechen	0.0003691994962520019
7	abbringen	0.019990487205282095
8	abbruch	0.000130880661970075
9	abdruck	0.011874720356115882
10	abdrücke	0.04531378502407877
11	abdrücken	0.024863010455102932
12	abend	0.008389437393552458
13	abendbrot	0.02018205124488118
14	abenddämmerung	0.01388434701556673
15	abende	0.022166057901670016
16	abendessen	0.04098421550389879
17	abendkleid	0.04695489791912152
18	abendlichen	0.0025353483223377257
19	abends	0.008229399197965767
20	abendsonne	0.06912383999904242
21	abenteuer	0.011394617028155429
22	abenteuern	0.001849475085771388
23	abenteurer	0.010970373713860771
24	aber	0.00367900459380701
25	abermals	0.016594279993881158
26	abfahren	0.007027948010052819
27	abfahrt	0.009552985655491397
28	abfall	0.002413228152921186
29	abfangen	0.001720833419938327
30	abfiel	0.026009131689187448
31	abfinden	0.03492346391965767
32	abflug	0.037222275250206126
33	abfuhr	0.013477469158054842
34	abfällig	0.015146129640678654
35	abgab	0.008775999133757092
36	abgaben	0.00633028380105128
37	abgang	0.015836336954539766
38	abgebaut	0.014183789064836312
39	abgeben	2.129920683478152e-05
40	abgebildet	8.28646174121572e-06
41	abgebrochen	0.0063618817466451795
42	abgedeckt	0.004086003781893947
43	abgefahren	0.010143123291361602
44	abgefallen	0.03795562153729222
45	abgefangen	0.006582122744863236
46	abgefeuert	0.1494359505316542
47	abgefunden	0.020787242953719167
48	abgegeben	4.8179540787310305e-05
49	abgehackt	2.1527570204105855e-05
50	abgehalten	0.0014597073486512843
51	abgehauen	0.034807622990470286
52	abgehoben	0.0033143657207160768
53	abgeholt	0.0037071556068817638
54	abgehört	0.09467307141107102
55	abgeklungen	0.009054510411951443
56	abgekommen	0.00032234526729712533
57	abgekühlt	0.01813749618992796
58	abgelaufen	0.0016504080747640603
59	abgelegenen	0.0002411803754752296
60	abgelegt	0.007153929726878533
61	abgelehnt	0.015871371854146988
62	abgelenkt	0.0011725542190730697
63	abgeliefert	0.03335702563469912
64	abgelöst	0.0011393506587599744
65	abgemacht	0.015208808638314229
66	abgeneigt	0.012977503474616285
67	abgenommen	1.4580402317780584e-06
68	abgereist	0.043615100501459496
69	abgeriegelt	0.15250711717784943
70	abgerissen	8.899290419056658e-05
71	abgesagt	0.02865192133451947
72	abgeschaltet	7.45692061753676e-05
73	abgeschiedenheit	0.0005777060341387984
74	abgeschirmt	0.007616738764540203
75	abgeschlagen	0.018710832303260854
76	abgeschlossen	0.005593005083068238
77	abgeschnitten	5.439817197044829e-07
78	abgeschossen	0.005190263415265264
79	abgeschüttelt	0.0011927382181587051
80	abgesehen	0.008265603315052696
81	abgesetzt	0.015900857307600373
82	abgesichert	0.003344198649896924
83	abgesperrt	0.057127641754686126
84	abgespielt	0.0012835985480689899
85	abgesprochen	0.009531919776647226
86	abgestellt	0.011402949575961309
87	abgestellten	0.040447062211739646
88	abgestiegen	0.00032530022396140383
89	abgestimmt	0.0026731941464077525
90	abgestoßen	0.002879392706964601
91	abgestrahlt	
92	abgestürzt	0.014914056206940921
93	abgesucht	0.00020749078100523125
94	abgetan	0.019535030075083858
95	abgetrennt	0.0008211349592373626
96	abgetrieben	2.022942559392238e-05
97	abgewandt	0.01487235631826581
98	abgewartet	0.0004980536519931271
99	abgewehrt	0.006169146622743937
100	abgewiesen	0.008114526819649436
101	abgezogen	0.04542860641276919
102	abgrund	0.008225339452709621
103	abgrundtief	0.008702292454595435
104	abhalten	0.0019182560055639123
105	abhanden	0.0026263259871461483
106	abhang	0.0006278845444390845
107	abhauen	0.09491707219913727
108	abheben	0.0021759606279540718
109	abhielt	2.093702491974092e-06
110	abhob	0.0037178456113239836
111	abholen	9.704473601217245e-08
112	abholte	0.0013321570491342475
113	abhängen	0.024525881058991665
114	abhängig	0.0037957995991757046
115	abhängigkeit	0.002221069558146882
116	abitur	0.06225457014025185
117	abkommen	0.017196452211001315
118	abkürzung	0.0002023657991757962
119	ablauf	0.01741473282916435
120	ablaufen	0.0007305758466944357
121	ableben	0.002620523166263756
122	ablegen	0.0010850343280308875
123	ableger	0.002268939500281798
124	ablehnen	0.007493030117022254
125	ablehnend	0.002672289928227595
126	ablehnte	0.02410728693310967
127	ablehnung	0.008347735117063167
128	ablenken	0.001583869273175345
129	ablenkung	0.001034172559733192
130	ablenkungsmanöver	0.04500687522071488
131	ablesen	0.0007235763868341707
132	ablief	0.016658843114380553
133	abliefern	0.003560313590866483
134	abläuft	0.0008228167325752891
135	ablösen	0.0021686594591843276
136	abmachung	0.01235560656060078
137	abnahm	0.0015354814414876659
138	abnehmen	0.00331325870631677
139	abneigung	0.0047315503711161284
140	about	
141	above	0.5077017279262833
142	abraham	0.121633382889466
143	abrechnung	0.0012024940166909855
144	abreise	0.021211151041576785
145	abreisen	0.04232935953383284
146	abreißen	0.007778966251677351
147	abrupt	0.0010872095714162863
148	absage	0.04923866119327092
149	absagen	0.039738663147378624
150	absah	0.0005624477113787395
151	absatz	0.008729016443318728
152	abschalten	0.006552769584049146
153	abscheu	0.001018381960074359
154	abschied	0.022666949028133234
155	abschießen	3.7230990542570785e-05
156	abschirmung	0.0009140944273534589
157	abschlagen	0.014433353876289162
158	abschließen	1.8765932573343e-05
159	abschließend	0.017871229276066505
160	abschloss	0.000440477849496251
161	abschluss	0.0018275917790720412
162	abschneiden	0.0024025446043629186
163	abschnitt	0.0013625724980474273
164	abschrecken	0.0012939790996125047
165	abschätzen	0.000543376058977002
166	abschätzend	0.013510036496355134
167	abschütteln	1.1594920316233348e-05
168	absehbarer	0.007625858269768835
169	abseits	0.004635708826407249
170	absender	0.010121684572266011
171	absetzen	0.05223411118008586
172	absetzte	0.004854300205868502
173	absicht	0.0001763663550614263
174	absichten	0.0006695619992895981
175	absichtlich	0.008282852640833772
176	absolut	0.0046930071933685945
177	absolute	0.004928178815343964
178	absoluten	0.00279025179268653
179	absoluter	0.00023960211165322508
180	absolviert	0.0013990371388142644
181	absperrung	0.141749842738573
182	abspielen	0.0005685265809655254
183	abspielte	0.003595607554835272
184	abstammung	0.053742720243708936
185	abstand	0.0010242097181581318
186	abstatten	0.01473243107907539
187	abstecher	0.026036661533979766
188	abstellen	0.004217452928280151
189	abstellte	0.004830471523973371
190	abstieg	0.01584419907962187
191	abstimmung	0.00324280866884321
192	abstoßend	0.00027931599996305293
193	abstrahlen	
194	abstreiten	0.00015291559286949568
195	absturz	0.005358001907419009
196	abständen	0.004191385689964917
197	abstürzen	0.007681091869893769
198	abstützen	0.018482843606235897
199	absuchen	0.006319173438148997
200	absurd	0.00019253247492767925
201	absätze	0.0004953811578578922
202	absätzen	0.00018223757607282662
203	abt	
204	abteil	0.02840555202109899
205	abteilung	0.05715731219985967
206	abteilungen	0.012608431417474843
207	abtransport	0.10300466964033973
208	abtransportiert	0.013843540399998286
209	abwandte	0.002995197252088048
210	abwarten	0.001317936585121771
211	abwartend	0.003111962647293645
212	abwechselnd	4.9024109818286785e-05
213	abwechslung	0.0015416059206168255
214	abwegig	0.016507821894298502
215	abwehr	0.026605480280906573
216	abwehren	0.007529812053930661
217	abwehrend	0.0027617791231654733
218	abwehrende	0.00010994244568491218
219	abweichung	0.07308697381348042
220	abweichungen	0.001097769966389087
221	abweisen	0.027956578062774046
222	abweisend	0.015540086198621683
223	abwenden	0.01632413106096132
224	abwesend	0.004597454901422212
225	abwesenheit	0.003542566604081171
226	abwärts	0.009345714674703067
227	abzeichnete	0.005700218681530787
228	abzeichneten	0.0120802433380136
229	abziehen	0.04905890535980257
230	abzubrechen	0.014148204016049552
231	abzubringen	0.02026158786652403
232	abzufangen	0.008857327703732522
233	abzufinden	0.05812076018630291
234	abzug	0.05026109430469066
235	abzug.	0.010777395686786203
236	abzugeben	0.0011740077060692997
237	abzuhalten	0.0011324932560351497
238	abzuholen	0.002853771335005261
239	abzulegen	0.00029506754284560396
240	abzulenken	0.0022656212894161983
241	abzulesen	0.009898573990585215
242	abzunehmen	0.003402691206931204
243	abzuschalten	0.005512043242532402
244	abzuschließen	0.008191727436264253
245	abzuschneiden	0.018474392685142074
246	abzuschätzen	0.021111944850668016
247	abzuschütteln	0.005151842421805601
248	abzusehen	0.005659551512200881
249	abzusetzen	0.012078166316498287
250	abzustatten	2.7298489186179447e-06
251	abzusuchen	7.19544947860324e-05
252	abzuwarten	0.0007644761748498621
253	abzuwehren	0.0033693023631178338
254	abzuwenden	0.0038444201356926284
255	abzweigung	0.0009055283758540068
256	ach	0.012693250476472854
257	achse	4.0405173523757514e-05
258	achseln	0.011364949909721048
259	achselzuckend	0.0001648032331978697
260	acht	0.0016811288514086992
261	achte	8.755511435666044e-05
262	achten	0.00013164253514857688
263	achterdeck	0.001732788594586671
264	achterkastell	
265	achtern	0.0018501798713691673
266	achtet	0.0005430456133349148
267	achtete	0.003856450780725164
268	achteten	5.308464522456129e-07
269	achtgeben	0.029849104563893343
270	achthundert	0.00575874248729598
271	achtlos	1.254437596490658e-07
272	achtundvierzig	0.10489972459945685
273	achtundzwanzig	9.280842121807279e-05
274	achtung	9.28705835899408e-05
275	achtzehn	0.00041937135758646736
276	achtzig	0.0022411777540888127
277	acker	0.008501210452511381
278	across	
279	adel	0.09971590705498229
280	ader	0.00047644113963445176
281	adern	0.007957544653826618
282	adjutant	0.018347811496195052
283	adjutanten	4.501053938245868e-06
284	adler	0.025446538988754992
285	administrator	0.03021732898371137
286	admiral	0.0008829625274692108
287	admiralin	
288	adoptieren	0.051774924060870135
289	adoptiert	0.06724120800190538
290	adoption	0.0466173608813225
291	adrenalin	0.01714883844623094
292	adresse	0.07586952028449939
293	adressen	0.20377339079315326
294	affe	0.0010918991273726475
295	affen	0.007354380029075026
296	affäre	0.002681558930738053
297	affären	0.003061133397135516
298	after	
299	ag	0.13034584770944355
300	again	0.019695412117918948
301	against	
302	agent	1.1436324293601798
303	agenten	0.032389789525054995
304	agentin	0.7679291790907737
305	agents	1.465640049467543
306	agentur	0.05910713674991265
307	aggregat	0.029760986796343758
308	aggregate	
309	aggregaten	0.00708829567115162
310	aggression	0.02608986590620862
311	aggressionen	0.001549890363421227
312	aggressiv	7.530829728310184e-05
313	aggressiven	0.003781602078464362
314	aggressivität	0.0023717871159922455
315	agieren	0.0008261545313920007
316	ago	
317	agreed	
318	ah	0.000982045533851639
319	aha	0.005138979693569492
320	ahne	0.012731275348632904
321	ahnen	0.002695886513497071
322	ahnst	0.04332643641050929
323	ahnt	0.0025456258368234865
324	ahnte	0.01221379430069676
325	ahnten	0.0013324629093174924
326	ahnung	0.0011976380330219246
327	ahnungen	0.02359329422359991
328	ahnungslos	0.00525943587889089
329	air	0.1400488315221427
330	airport	0.3418705642684873
331	akademie	0.0004897437014896016
332	akonischen	
333	akt	0.009750157806669966
334	akte	0.18757710392892876
335	akten	0.07805013543909516
336	aktentasche	0.1796704603420107
337	aktion	0.03159994184632772
338	aktionen	0.02418598799426662
339	aktiv	0.06033660320526703
340	aktivatorträger	
341	aktiven	0.10434939800568833
342	aktivieren	0.018525959739695556
343	aktiviert	0.002331349791713894
344	aktivierte	0.001830248137119352
345	aktivierten	0.022450049287009544
346	aktivierung	0.005957908093070077
347	aktivität	0.0014138830712375466
348	aktivitäten	0.03622096677145862
349	aktuell	0.21329105460576187
350	aktuelle	0.15190712473479118
351	aktuellen	0.29870818504724805
352	akustisch	0.018498538575662443
353	akustische	0.010418579646812903
354	akustischen	0.01703587590061412
355	akzent	0.04459115689254446
356	akzeptiere	0.04159665556437389
357	akzeptieren	0.018808486109320066
358	akzeptiert	0.019673785765546212
359	akzeptierte	0.0021816179623781635
360	alarm	0.005862528220887269
361	alarmanlage	0.025373853444471683
362	alarmbereitschaft	0.012052587086404602
363	alarmieren	0.006426591199351444
364	alarmiert	0.0025372157467598196
365	alarmierte	0.026481579669001755
366	alarmsirenen	0.00036062121735943274
367	alastar	
368	alban	
369	albern	0.011369393652307394
370	albernen	0.00019892905545977786
371	albino	0.022504138579954376
372	albtraum	0.004198230839183024
373	albträume	0.00174000274359286
374	albträumen	0.0015789504768713054
375	aldo	0.06545075501893075
376	alias	0.049329337045627884
377	alibi	0.41681913015190397
378	alkohol	0.00044440357476437965
379	alkorder	
380	all	0.005833868767946192
381	all.	0.027946285829064568
382	alldem	0.003795656800814659
383	alle	0.00016894798538030428
384	alledem	0.015343001540292337
385	allee	0.0006792338932581441
386	allein	0.007497369167364397
387	alleine	0.02131273324566122
388	alleingang	0.05529187230817495
389	alleinsein	0.023428049932299008
390	allem	0.005832684230318744
391	allemal	0.017460421811634857
392	allen	0.0007439728007827967
393	allenfalls	0.002306925361822705
394	aller	0.00015518676423543695
395	allerdings	0.0010140108467573076
396	allergisch	0.004156633649742794
397	allerhand	0.022313706929199588
