	token	label	distance
581	Töchterchen	26	0.6075105667114258
1760	schätzchen	26	0.6075105667114258
1524	mädchen	26	0.6075105667114258
962	engelchen	26	0.6075105667114258
1273	karinchen	26	0.6075105667114258
78	Bettchen	26	0.6075105667114258
1525	mädchens	26	0.6075105667114258
1893	töchter	26	0.6075105667114258
1526	mädel	26	0.6075105667114258
330	Kind	26	0.6075105667114258
1837	stündchen	26	0.6075105667114258
1729	schlössl	26	0.6075105667114258
1527	mädels	26	0.6075105667114258
1195	händchen	26	0.6075105667114258
1173	herzchen	26	0.6075105667114258
1753	schwesterchen	26	0.6075105667114258
936	ehepaar	26	0.6075105667114258
1091	gesichtchen	26	0.6075105667114258
878	danken	1	1.6668202877044678
776	beruhigt	1	1.6668202877044678
76	Betreuung	1	1.6668202877044678
1958	verwöhnen	1	1.6668202877044678
74	Bescheid	1	1.6668202877044678
1375	leiden	1	1.6668202877044678
742	behandeln	1	1.6668202877044678
883	darüber	1	1.6668202877044678
1369	leben	1	1.6668202877044678
774	beruhigen	1	1.6668202877044678
894	denken	1	1.6668202877044678
895	denken|gedenken	1	1.6668202877044678
2045	worüber	1	1.6668202877044678
897	deprimieren	1	1.6668202877044678
1343	küssen	1	1.6668202877044678
1341	kümmern	1	1.6668202877044678
743	behandelt	1	1.6668202877044678
1934	verbracht	1	1.6668202877044678
784	besuchen	1	1.6668202877044678
1706	sagen	1	1.6668202877044678
738	bedeuten	1	1.6668202877044678
1386	lernen	1	1.6668202877044678
1415	lächeln	1	1.6668202877044678
1723	schlafen	1	1.6668202877044678
2016	wiedersehen	1	1.6668202877044678
1691	ruhig	1	1.6668202877044678
2003	weiß	1	1.6668202877044678
739	befreunden	1	1.6668202877044678
740	begleitet	1	1.6668202877044678
1690	ruhen	1	1.6668202877044678
1721	scherzen	1	1.6668202877044678
1733	schocken	1	1.6668202877044678
741	begrüßen	1	1.6668202877044678
935	ehen	1	1.6668202877044678
1911	unterhalten	1	1.6668202877044678
1932	verabschieden	1	1.6668202877044678
1933	verabschiedet	1	1.6668202877044678
1395	lieben	1	1.6668202877044678
801	bitten	1	1.6668202877044678
787	betreuen	1	1.6668202877044678
713	aufwachen	1	1.6668202877044678
2035	wohnen	1	1.6668202877044678
1954	versprechen	1	1.6668202877044678
1956	vertrauen	1	1.6668202877044678
1050	fügen	1	1.6668202877044678
1051	fühlen	1	1.6668202877044678
1831	streicheln	1	1.6668202877044678
1207	informieren	1	1.6668202877044678
1938	verena	1	1.6668202877044678
1066	gebären	1	1.6668202877044678
1861	telefonieren	1	1.6668202877044678
1174	herzen	1	1.6668202877044678
1076	geliebt	1	1.6668202877044678
2051	wünschen	1	1.6668202877044678
652	ahnen	1	1.6668202877044678
1582	nächte	1	1.6668202877044678
1609	passieren	1	1.6668202877044678
1658	reichel	1	1.6668202877044678
1093	gestehen	1	1.6668202877044678
1149	hausen	1	1.6668202877044678
1148	haus	1	1.6668202877044678
2088	ärzte	1	1.6668202877044678
1656	reden	1	1.6668202877044678
2089	ärzten	1	1.6668202877044678
1166	helfen	1	1.6668202877044678
1037	freuen	1	1.6668202877044678
744	behandlung	1	1.6668202877044678
689	anrufen	1	1.6668202877044678
1935	verbringen	1	1.6668202877044678
755	benachrichtigen	1	1.6668202877044678
944	einschlafen	1	1.6668202877044678
1953	versorgen	1	1.6668202877044678
1282	kennenlernen	1	1.6668202877044678
1951	verreisen	1	1.6668202877044678
1806	sorgen	1	1.6668202877044678
50	Auskunft	1	1.6668202877044678
959	empfinden	1	1.6668202877044678
47	Aufsicht	1	1.6668202877044678
1024	fragen	1	1.6668202877044678
969	entspannen	1	1.6668202877044678
963	entfahren	1	1.6668202877044678
975	erklären	1	1.6668202877044678
984	erschrecken	1	1.6668202877044678
2072	zusammensein	1	1.6668202877044678
2074	zustehen	1	1.6668202877044678
1950	vermissen	1	1.6668202877044678
1892	tun	1	1.6668202877044678
1813	sprechen	1	1.6668202877044678
973	erholen	1	1.6668202877044678
517	Schockraum	38	1.7411625385284424
714	aufwachraum	38	1.7411625385284424
556	Säuglingsstation	38	1.7411625385284424
542	Sprechzimmer	38	1.7411625385284424
709	aufenthaltsraum	38	1.7411625385284424
621	Waschraum	38	1.7411625385284424
620	Wartezimmer	38	1.7411625385284424
543	Station	38	1.7411625385284424
1755	schwesternzimmer	38	1.7411625385284424
760	bereitschaftsraum	38	1.7411625385284424
1293	kinderstation	38	1.7411625385284424
591	Untersuchungszimmer	38	1.7411625385284424
445	Notaufnahme	38	1.7411625385284424
349	Krankenzimmer	38	1.7411625385284424
455	Operationssaal	38	1.7411625385284424
746	behandlungszimmer	38	1.7411625385284424
291	Intensivstation	38	1.7411625385284424
294	Isolierstation	38	1.7411625385284424
2083	Ärztezimmer	38	1.7411625385284424
1700	röte	40	2.089024066925049
1014	flamm	40	2.089024066925049
1086	gerot	40	2.089024066925049
706	atem	40	2.089024066925049
154	Drilling	29	2.3895297050476074
276	Hochzeit	29	2.3895297050476074
332	Kino	29	2.3895297050476074
233	Gespräch	29	2.3895297050476074
49	Ausflug	29	2.3895297050476074
562	Termin	29	2.3895297050476074
942	einladen	29	2.3895297050476074
576	Training	29	2.3895297050476074
597	Verabredung	29	2.3895297050476074
561	Tennis	29	2.3895297050476074
1302	klassentreffen	29	2.3895297050476074
427	Modenschau	29	2.3895297050476074
2000	weihnachtsfest	29	2.3895297050476074
1999	weihnachten	29	2.3895297050476074
496	Restaurant	29	2.3895297050476074
102	Cafeteria	29	2.3895297050476074
202	Flirt	29	2.3895297050476074
513	Schauspielerin	29	2.3895297050476074
474	Picknick	29	2.3895297050476074
1931	verabreden	29	2.3895297050476074
1048	fußball	29	2.3895297050476074
209	Friseur	29	2.3895297050476074
82	Biergarten	29	2.3895297050476074
214	Geburtstag	29	2.3895297050476074
462	Party	29	2.3895297050476074
453	Oper	29	2.3895297050476074
1924	valerie	4	2.722583293914795
1877	ton	4	2.722583293914795
1868	thiersch	4	2.722583293914795
1867	thieme	4	2.722583293914795
1925	valeries	4	2.722583293914795
1895	uhl	4	2.722583293914795
1796	situation	4	2.722583293914795
1866	thiele	4	2.722583293914795
1764	see	4	2.722583293914795
1695	ruth	4	2.722583293914795
1792	silke	4	2.722583293914795
1696	ruths	4	2.722583293914795
1871	till	4	2.722583293914795
857	connys	4	2.722583293914795
858	conrady	4	2.722583293914795
726	bad	4	2.722583293914795
733	barring	4	2.722583293914795
865	daddy	4	2.722583293914795
1443	margits	4	2.722583293914795
864	dad	4	2.722583293914795
1442	margie	4	2.722583293914795
815	bobby	4	2.722583293914795
723	baby	4	2.722583293914795
833	burger	4	2.722583293914795
842	cent	4	2.722583293914795
861	croon	4	2.722583293914795
844	chancen	4	2.722583293914795
2022	willing	4	2.722583293914795
1406	lolly	4	2.722583293914795
852	claires	4	2.722583293914795
2024	winning	4	2.722583293914795
1644	radio	4	2.722583293914795
834	burgers	4	2.722583293914795
1869	thieß	4	2.722583293914795
724	babys	4	2.722583293914795
953	else	4	2.722583293914795
1110	granny	4	2.722583293914795
1635	probleme	4	2.722583293914795
1136	hamburg	4	2.722583293914795
1621	percy	4	2.722583293914795
1620	peer	4	2.722583293914795
1605	palace	4	2.722583293914795
1169	helma	4	2.722583293914795
1191	horn	4	2.722583293914795
702	arning	4	2.722583293914795
1246	jobst	4	2.722583293914795
912	dolly	4	2.722583293914795
1006	fees	4	2.722583293914795
1517	mummy	4	2.722583293914795
1963	villa	4	2.722583293914795
1004	fee	4	2.722583293914795
1516	mum	4	2.722583293914795
954	elses	4	2.722583293914795
1005	feelein	4	2.722583293914795
859	constantin	4	2.722583293914795
1908	unfallstelle	31	2.9109957218170166
1907	unfalls	31	2.9109957218170166
1906	unfallort	31	2.9109957218170166
348	Krankenwagen	31	2.9109957218170166
1905	unfall	31	2.9109957218170166
584	Unfallopfer	31	2.9109957218170166
1714	sanitäter	31	2.9109957218170166
510	Sanitäter	31	2.9109957218170166
1580	notarztwagen	31	2.9109957218170166
1669	rettungswagen	31	2.9109957218170166
1887	tränen	47	2.9819982051849365
1817	stammeln	47	2.9819982051849365
1021	flüstern	47	2.9819982051849365
1728	schluchzen	47	2.9819982051849365
1520	murmeln	47	2.9819982051849365
1165	heiser	47	2.9819982051849365
712	aufschluchzen	47	2.9819982051849365
1786	seufzen	47	2.9819982051849365
1653	raunen	47	2.9819982051849365
530	Seufzer	47	2.9819982051849365
1377	leise	47	2.9819982051849365
1878	tonlos	47	2.9819982051849365
